pointScore,gameScore,setScore,isPointStart,pointStartTime,isPointEnd,pointEndTime,pointNumber,isBreakPoint,shotInRally,side,serverName,serverFarNear,firstServeIn,firstServeZone,firstServeXCoord,firstServeYCoord,secondServeIn,secondServeZone,secondServeXCoord,secondServeYCoord,isAce,shotContactX,shotContactY,shotDirection,shotFhBh,isSlice,isVolley,isOverhead,isApproach,isDropshot,isExcitingPoint,atNetPlayer1,atNetPlayer2,isLob,shotLocationX,shotLocationY,isWinner,isErrorWideR,isErrorWideL,isErrorNet,isErrorLong,clientTeam,Date,Division,Event,lineupPosition,matchDetails,matchVenue,opponentTeam,player1Name,player2Name,player1Hand,player2Hand,Round,Surface,Notes,isTopspin,isFlat,isKick,gameNumber,server_changed,tiebreakScore,returnerName,shotHitBy,InsideOut,InsideIn,isDoubleFault,pointWonBy,lastShotError,serveResult,serveInPlacement,depth
0-0,1-0,0-0,1.0,149100,,,6,,1,Deuce,Roger Pascual Ferra,Near,0.0,T,-40.67410324,-5.130807087,1.0,Body,-65.92596785,194.3221511,,22.99473972,-459.9950022,,,1.0,,,,,,,,,,,,,,1.0,,UCLA,10/6/25,,LWH Solano Challenger,,,,TCU,Emon van Loben Sels,Roger Pascual Ferra,Right,Left,,Hard,,,,,2,True,,Emon van Loben Sels,Roger Pascual Ferra,,,,,,2nd Serve In,Body,
0-0,1-0,0-0,,161179,,,6,,2,Deuce,Roger Pascual Ferra,Near,,,,,,,,,,-112.3584974,479.1667268,Crosscourt,Forehand,,,,,,,,,,0.2374671916,-195.6532152,,,,,,UCLA,10/6/25,,LWH Solano Challenger,,,,TCU,Emon van Loben Sels,Roger Pascual Ferra,Right,Left,,Hard,,1.0,,,2,False,,Emon van Loben Sels,Emon van Loben Sels,,,,,,,,Short
0-0,1-0,0-0,,162899,,,6,,3,Deuce,Roger Pascual Ferra,Near,,,,,,,,,,38.86060258,-443.7499727,Down the Line,Backhand,,,,,,,,,,97.75870516,254.4655402,,,,,,UCLA,10/6/25,,LWH Solano Challenger,,,,TCU,Emon van Loben Sels,Roger Pascual Ferra,Right,Left,,Hard,,1.0,,,2,False,,Emon van Loben Sels,Roger Pascual Ferra,,,,,,,,Short
0-0,1-0,0-0,,164100,1.0,164100.0,6,,4,Ad,Roger Pascual Ferra,Near,,,,,,,,,,126.2397638,578.7574584,Down the Line,Backhand,,,,,,,,,,54.76171807,-518.206157,,,,,1.0,UCLA,10/6/25,,LWH Solano Challenger,,,,TCU,Emon van Loben Sels,Roger Pascual Ferra,Right,Left,,Hard,,,1.0,,2,False,,Emon van Loben Sels,Emon van Loben Sels,,,,Roger Pascual Ferra,1,,,Long
15-0,1-0,0-0,1.0,184500,,,7,,1,Ad,Roger Pascual Ferra,Near,1.0,Wide,113.5744259,188.2304517,,,,,,-40.05658902,-490.9569882,,,1.0,,,,,,,,,,,,,,,,UCLA,10/6/25,,LWH Solano Challenger,,,,TCU,Emon van Loben Sels,Roger Pascual Ferra,Right,Left,,Hard,,,,,2,False,,Emon van Loben Sels,Roger Pascual Ferra,,,,,,1st Serve In,Wide,
15-0,1-0,0-0,,185199,,,7,,2,Ad,Roger Pascual Ferra,Near,,,,,,,,,,180.9919893,542.3234689,Down the Line,Backhand,,,,,,,,,,134.0593777,-207.6303806,,,,,,UCLA,10/6/25,,LWH Solano Challenger,,,,TCU,Emon van Loben Sels,Roger Pascual Ferra,Right,Left,,Hard,,1.0,,,2,False,,Emon van Loben Sels,Emon van Loben Sels,,,,,,,,Short
15-0,1-0,0-0,,187000,,,7,,3,Deuce,Roger Pascual Ferra,Near,,,,,,,,,,117.3392224,-377.9561734,Crosscourt,Backhand,,,,,,,,,,-98.82654199,210.9617345,,,,,,UCLA,10/6/25,,LWH Solano Challenger,,,,TCU,Emon van Loben Sels,Roger Pascual Ferra,Right,Left,,Hard,,1.0,,,2,False,,Emon van Loben Sels,Roger Pascual Ferra,,,,,,,,Short
15-0,1-0,0-0,,188369,,,7,,4,Deuce,Roger Pascual Ferra,Near,,,,,,,,,,-166.5095144,469.1865978,Crosscourt,Forehand,,,,,,,,,,15.3765748,-217.7615868,,,,,,UCLA,10/6/25,,LWH Solano Challenger,,,,TCU,Emon van Loben Sels,Roger Pascual Ferra,Right,Left,,Hard,,1.0,,,2,False,,Emon van Loben Sels,Emon van Loben Sels,,,,,,,,Short
15-0,1-0,0-0,,189880,1.0,189880.0,7,,5,Deuce,Roger Pascual Ferra,Near,,,,,,,,,,15.3765748,-21.43803587,Down the Line,Forehand,,,1.0,,,,,1,,5.989539589,137.0596402,1.0,,,,,UCLA,10/6/25,,LWH Solano Challenger,,,,TCU,Emon van Loben Sels,Roger Pascual Ferra,Right,Left,,Hard,,,1.0,,2,False,,Emon van Loben Sels,Roger Pascual Ferra,,1.0,,Roger Pascual Ferra,,,,Short
30-0,1-0,0-0,1.0,215500,,,8,,1,Deuce,Roger Pascual Ferra,Near,1.0,Body,-59.36951553,244.2681157,1.0,Wide,-123.6530785,242.0953521,,31.31799541,-459.0888451,,,1.0,,,,,,,,,,,,,,,,UCLA,10/6/25,,LWH Solano Challenger,,,,TCU,Emon van Loben Sels,Roger Pascual Ferra,Right,Left,,Hard,,,,,2,False,,Emon van Loben Sels,Roger Pascual Ferra,,,,,,1st Serve In,Body,
