pointNumber,player1Name,player2Name,pointScore,gameScore,setScore,tiebreakScore,side,serverName,returnerName,clientTeam,opponentTeam,Position,pointEndPosition,Duration,rallyCount,rallyCountFreq,firstServeIn,secondServeIn,serveResult,serveInPlacement,firstServeZone,secondServeZone,isAce,serverFarNear,serverStartLocation,returnerStartLocation,firstServeXCoord,firstServeYCoord,secondServeXCoord,secondServeYCoord,returnDirection,returnFhBh,errorType,returnError,lastShotDirection,lastShotFhBh,lastShotHitBy,lastShotResult,pointWonBy,isExcitingPoint,isBreakPoint,atNetPlayer1,atNetPlayer2,setNum,player1SetScore,player2SetScore,player1GameScore,player2GameScore,player1PointScore,player2PointScore,player1TiebreakScore,player2TiebreakScore,gameNumber,player1ServeResult,player1ServePlacement,player1ReturnPlacement,player1ReturnFhBh,player1LastShotPlacement,player1LastShotFhBh,player1LastShotResult,player2ServeResult,player2ServePlacement,player2ReturnPlacement,player2ReturnFhBh,player2LastShotPlacement,player2LastShotFhBh,player2LastShotResult,deepCountPlayer1,deepCountPlayer2,shortCountPlayer1,shortCountPlayer2,Name
120,Rudy Quan,Edward Winter,0-0,1-3,0-2,,Deuce,Edward Winter,Rudy Quan,UCLA,Pepperdine,5458883.0,5469000.0,10117.0,6,5-8,1,0,1st Serve In,Body,Body,,False,Far,,,60.83370516,-218.1290409,,,Down the Line,Forehand,Net,,Down the Line,Backhand,Rudy Quan,Error,Edward Winter,,False,Rudy Quan,,3,0,2,1,3,0,0,,,5,,,Down the Line,Forehand,Down the Line,Backhand,Error,1st Serve In,Deuce: Body,,,,,,0.0,0.0,2.0,2.0,"Set 3: 1-3, 0-0 Edward Winter Serving"
121,Rudy Quan,Edward Winter,15-0,1-3,0-2,,Ad,Edward Winter,Rudy Quan,UCLA,Pepperdine,5483788.0,5493000.0,9212.0,5,5-8,1,0,1st Serve In,Body,Body,,False,Far,,,-84.51550744,-198.4568132,,,Down the Line,Backhand,Net,,Crosscourt,Forehand,Edward Winter,Error,Rudy Quan,,False,,,3,0,2,1,3,15,0,,,5,,,Down the Line,Backhand,,,,1st Serve In,Ad: Body,,,Crosscourt,Forehand,Error,0.0,0.0,1.0,2.0,"Set 3: 1-3, 15-0 Edward Winter Serving"
122,Rudy Quan,Edward Winter,15-15,1-3,0-2,,Deuce,Edward Winter,Rudy Quan,UCLA,Pepperdine,5516511.0,5531000.0,14489.0,5,5-8,1,0,1st Serve In,T,T,,False,Far,,,19.3472605,-210.5932087,,,Crosscourt,Backhand,Wide Right,,Crosscourt,Forehand,Edward Winter,Error,Rudy Quan,,False,,,3,0,2,1,3,15,15,,,5,,,Crosscourt,Backhand,,,,1st Serve In,Deuce: T,,,Crosscourt,Forehand,Error,0.0,1.0,1.0,1.0,"Set 3: 1-3, 15-15 Edward Winter Serving"
123,Rudy Quan,Edward Winter,15-30,1-3,0-2,,Ad,Edward Winter,Rudy Quan,UCLA,Pepperdine,5553931.0,5564000.0,10069.0,5,5-8,1,0,1st Serve In,Body,Body,,False,Far,,,-56.93222332,-192.3633913,,,Crosscourt,Forehand,,,Down the Line,Forehand,Edward Winter,Winner,Edward Winter,,False,,,3,0,2,1,3,15,30,,,5,,,Crosscourt,Forehand,,,,1st Serve In,Ad: Body,,,Down the Line,Forehand,Winner,0.0,1.0,2.0,1.0,"Set 3: 1-3, 15-30 Edward Winter Serving"
124,Rudy Quan,Edward Winter,30-30,1-3,0-2,,Deuce,Edward Winter,Rudy Quan,UCLA,Pepperdine,5584741.0,5609000.0,24259.0,8,5-8,0,1,2nd Serve In,Body,Body,Body,False,Far,,,52.94626531,-251.2366907,102.6377297,-165.8834646,Down the Line,Forehand,Net,,Crosscourt,Backhand,Rudy Quan,Error,Edward Winter,,False,,,3,0,2,1,3,30,30,,,5,,,Down the Line,Forehand,Crosscourt,Backhand,Error,2nd Serve In,Deuce: Body,,,,,,1.0,0.0,2.0,3.0,"Set 3: 1-3, 30-30 Edward Winter Serving"
125,Rudy Quan,Edward Winter,40-30,1-3,0-2,,Ad,Edward Winter,Rudy Quan,UCLA,Pepperdine,5642370.0,5648000.0,5630.0,2,1-4,0,1,2nd Serve In,Body,Wide,Body,False,Far,,,-142.9103128,-273.9680501,-66.09962817,-227.6321304,Down the Line,Forehand,Net,Net,Down the Line,Forehand,Rudy Quan,Error,Edward Winter,,False,,,3,0,2,1,3,40,30,,,5,,,Down the Line,Forehand,Down the Line,Forehand,Error,2nd Serve In,Ad: Body,,,,,,0.0,0.0,0.0,0.0,"Set 3: 1-3, 40-30 Edward Winter Serving"
126,Rudy Quan,Edward Winter,0-0,1-4,0-2,,Deuce,Rudy Quan,Edward Winter,UCLA,Pepperdine,5722866.0,5748000.0,25134.0,17,13+,1,0,1st Serve In,Body,Body,,False,Far,,,80.00600394,-217.0866579,,,Down the Line,Backhand,Net,,Down the Line,Forehand,Rudy Quan,Error,Edward Winter,,False,,,3,0,2,1,4,0,0,,,6,1st Serve In,Deuce: Body,,,Down the Line,Forehand,Error,,,Down the Line,Backhand,,,,0.0,0.0,8.0,7.0,"Set 3: 1-4, 0-0 Rudy Quan Serving"
127,Rudy Quan,Edward Winter,0-15,1-4,0-2,,Ad,Rudy Quan,Edward Winter,UCLA,Pepperdine,5784000.0,5798000.0,14000.0,1,1-4,0,0,Double Fault,T,Wide,T,False,Far,,,-191.3639928,-250.9779801,-40.11607065,15.68986767,,,Net,,,,Rudy Quan,,Edward Winter,,False,,,3,0,2,1,4,0,15,,,6,Double Fault,Ad: T,,,,,,,,,,,,,0.0,0.0,0.0,0.0,"Set 3: 1-4, 0-15 Rudy Quan Serving"
128,Rudy Quan,Edward Winter,0-30,1-4,0-2,,Deuce,Rudy Quan,Edward Winter,UCLA,Pepperdine,5824000.0,5826000.0,2000.0,3,1-4,1,0,1st Serve In,Body,Body,,False,Far,,,88.1529965,-244.7867618,,,Crosscourt,Backhand,,,Down the Line,Forehand,Rudy Quan,Winner,Rudy Quan,,False,,,3,0,2,1,4,0,30,,,6,1st Serve In,Deuce: Body,,,Down the Line,Forehand,Winner,,,Crosscourt,Backhand,,,,0.0,0.0,1.0,1.0,"Set 3: 1-4, 0-30 Rudy Quan Serving"
129,Rudy Quan,Edward Winter,15-30,1-4,0-2,,Ad,Rudy Quan,Edward Winter,UCLA,Pepperdine,5850207.0,5858000.0,7793.0,4,1-4,1,0,1st Serve In,Body,Body,,False,Far,,,-89.5051892,-173.1198983,,,Down the Line,Backhand,Long,,Crosscourt,Forehand,Edward Winter,Error,Rudy Quan,,False,,,3,0,2,1,4,15,30,,,6,1st Serve In,Ad: Body,,,,,,,,Down the Line,Backhand,Crosscourt,Forehand,Error,0.0,0.0,1.0,1.0,"Set 3: 1-4, 15-30 Rudy Quan Serving"
