Name,pointNumber,setNum,gameNumber,player1Name,player2Name,pointScore,gameScore,setScore,tiebreakScore,side,serverName,returnerName,Position,pointEndPosition,Duration,pointWonBy,rallyCount,rallyCountFreq,firstServeIn,secondServeIn,serveResult,serveInPlacement,firstServeZone,secondServeZone,isAce,serverFarNear,firstServeXCoord,firstServeYCoord,secondServeXCoord,secondServeYCoord,returnDirection,returnFhBh,errorType,returnError,lastShotDirection,lastShotFhBh,lastShotHitBy,lastShotResult,isBreakPoint,atNetPlayer1,atNetPlayer2,isExcitingPoint,player1SetScore,player2SetScore,player1GameScore,player2GameScore,player1PointScore,player2PointScore,player1TiebreakScore,player2TiebreakScore,player1ServeResult,player1ServePlacement,player1ReturnPlacement,player1ReturnFhBh,player1LastShotPlacement,player1LastShotFhBh,player1LastShotResult,player2ServeResult,player2ServePlacement,player2ReturnPlacement,player2ReturnFhBh,player2LastShotPlacement,player2LastShotFhBh,player2LastShotResult,clientTeam,opponentTeam
"Set 1: 0-1, 15-40 Catherine Gagnon Serving",11,1,2,Anne Lutkemeyer,Catherine Gagnon,15-40,0-1,0-0,,Deuce,Catherine Gagnon,Anne Lutkemeyer,432100.0,,,Anne Lutkemeyer,7,5 - 8,1,0,1st Serve In,Wide,Wide,,False,Far,126.0,-171.0,,,Down the Line,Forehand,Net,,Crosscourt,Forehand,Catherine Gagnon,Error,True,Anne Lutkemeyer,Catherine Gagnon,0.0,0,0,0,1,15,40,,,,,Down the Line,Forehand,,,,1st Serve In,Deuce: Wide,,,Crosscourt,Forehand,Error,UCLA,Michigan State University
"Set 1: 0-1, 30-40 Catherine Gagnon Serving",12,1,2,Anne Lutkemeyer,Catherine Gagnon,30-40,0-1,0-0,,Ad,Catherine Gagnon,Anne Lutkemeyer,475321.0,,,Catherine Gagnon,8,5 - 8,1,0,1st Serve In,Body,Body,,False,Far,-85.0,-155.0,,,Crosscourt,Backhand,Wide Right,,Down the Line,Forehand,Anne Lutkemeyer,Error,True,,,0.0,0,0,0,1,30,40,,,,,Crosscourt,Backhand,Down the Line,Forehand,Error,1st Serve In,Ad: Body,,,,,,UCLA,Michigan State University
"Set 1: 0-2, 0-0 Anne Lutkemeyer Serving",13,1,3,Anne Lutkemeyer,Catherine Gagnon,0-0,0-2,0-0,,Deuce,Anne Lutkemeyer,Catherine Gagnon,545811.0,,,Catherine Gagnon,2,1 - 4,0,1,2nd Serve In,Body,Wide,Body,False,Near,-187.0,146.0,-69.0,166.0,Down the Line,Forehand,,,Down the Line,Forehand,Catherine Gagnon,Winner,False,,,0.0,0,0,0,2,0,0,,,2nd Serve In,Deuce: Body,,,,,,,,Down the Line,Forehand,Down the Line,Forehand,Winner,UCLA,Michigan State University
"Set 1: 0-2, 0-15 Anne Lutkemeyer Serving",14,1,3,Anne Lutkemeyer,Catherine Gagnon,0-15,0-2,0-0,,Ad,Anne Lutkemeyer,Catherine Gagnon,563248.0,,,Anne Lutkemeyer,5,5 - 8,0,1,2nd Serve In,Body,Body,Body,False,Near,94.0,2.0,99.0,203.0,Down the Line,Forehand,,,Down the Line,Forehand,Anne Lutkemeyer,Winner,False,Anne Lutkemeyer,,0.0,0,0,0,2,0,15,,,2nd Serve In,Ad: Body,,,Down the Line,Forehand,Winner,,,Down the Line,Forehand,,,,UCLA,Michigan State University
"Set 1: 0-2, 15-15 Anne Lutkemeyer Serving",15,1,3,Anne Lutkemeyer,Catherine Gagnon,15-15,0-2,0-0,,Deuce,Anne Lutkemeyer,Catherine Gagnon,632966.0,,,Anne Lutkemeyer,3,1 - 4,1,0,1st Serve In,T,T,,False,Near,-48.0,234.0,,,Crosscourt,Backhand,,,Crosscourt,Forehand,Anne Lutkemeyer,Winner,False,2.0,,0.0,0,0,0,2,15,15,,,1st Serve In,Deuce: T,,,Crosscourt,Forehand,Winner,,,Crosscourt,Backhand,,,,UCLA,Michigan State University
"Set 1: 0-2, 30-15 Anne Lutkemeyer Serving",16,1,3,Anne Lutkemeyer,Catherine Gagnon,30-15,0-2,0-0,,Ad,Anne Lutkemeyer,Catherine Gagnon,639467.0,,,Anne Lutkemeyer,7,5 - 8,1,0,1st Serve In,T,T,,False,Near,48.0,194.0,,,Crosscourt,Forehand,,,Crosscourt,Forehand,Anne Lutkemeyer,Winner,False,,,0.0,0,0,0,2,30,15,,,1st Serve In,Ad: T,,,Crosscourt,Forehand,Winner,,,Crosscourt,Forehand,,,,UCLA,Michigan State University
"Set 1: 0-2, 40-15 Anne Lutkemeyer Serving",17,1,3,Anne Lutkemeyer,Catherine Gagnon,40-15,0-2,0-0,,Deuce,Anne Lutkemeyer,Catherine Gagnon,673079.0,675271.0,2192.0,Catherine Gagnon,1,1 - 4,0,0,Double Fault,Body,Body,Body,False,Near,-76.0,2.0,-70.0,1.0,,,,,,,Anne Lutkemeyer,,False,Anne Lutkemeyer,,0.0,0,0,0,2,40,15,,,Double Fault,Deuce: Body,,,,,,,,,,,,,UCLA,Michigan State University
"Set 1: 0-2, 40-30 Anne Lutkemeyer Serving",18,1,3,Anne Lutkemeyer,Catherine Gagnon,40-30,0-2,0-0,,Ad,Anne Lutkemeyer,Catherine Gagnon,726468.0,,,Anne Lutkemeyer,14,13 +,1,0,1st Serve In,Body,Body,,False,Near,74.0,207.0,,,Down the Line,Backhand,Wide Left,,Crosscourt,Forehand,Catherine Gagnon,Error,False,,,0.0,0,0,0,2,40,30,,,1st Serve In,Ad: Body,,,,,,,,Down the Line,Backhand,Crosscourt,Forehand,Error,UCLA,Michigan State University
"Set 1: 1-2, 0-0 Catherine Gagnon Serving",19,1,4,Anne Lutkemeyer,Catherine Gagnon,0-0,1-2,0-0,,Deuce,Catherine Gagnon,Anne Lutkemeyer,865396.0,,,Anne Lutkemeyer,5,5 - 8,1,0,1st Serve In,T,T,,False,Near,-29.0,234.0,,,Down the Line,Backhand,Wide Right,,Down the Line,Forehand,Catherine Gagnon,Error,False,,,0.0,0,0,1,2,0,0,,,,,Down the Line,Backhand,,,,1st Serve In,Deuce: T,,,Down the Line,Forehand,Error,UCLA,Michigan State University
"Set 1: 1-2, 15-0 Catherine Gagnon Serving",20,1,4,Anne Lutkemeyer,Catherine Gagnon,15-0,1-2,0-0,,Ad,Catherine Gagnon,Anne Lutkemeyer,877070.0,,,Anne Lutkemeyer,3,1 - 4,1,0,1st Serve In,Wide,Wide,,False,Near,112.0,207.0,,,Down the Line,Backhand,Wide Left,,Crosscourt,Forehand,Catherine Gagnon,Error,False,,,,0,0,1,2,15,0,,,,,Down the Line,Backhand,,,,1st Serve In,Ad: Wide,,,Crosscourt,Forehand,Error,UCLA,Michigan State University
"Set 1: 1-2, 30-0 Catherine Gagnon Serving",21,1,4,Anne Lutkemeyer,Catherine Gagnon,30-0,1-2,0-0,,Deuce,Catherine Gagnon,Anne Lutkemeyer,906700.0,,,Anne Lutkemeyer,5,5 - 8,1,0,1st Serve In,Body,Body,,False,Near,-77.0,207.0,,,Down the Line,Forehand,Long,,Down the Line,Forehand,Catherine Gagnon,Error,False,,,,0,0,1,2,30,0,,,,,Down the Line,Forehand,,,,1st Serve In,Deuce: Body,,,Down the Line,Forehand,Error,UCLA,Michigan State University
"Set 1: 1-2, 30-15 Catherine Gagnon Serving",22,1,4,Anne Lutkemeyer,Catherine Gagnon,30-15,1-2,0-0,,Ad,Catherine Gagnon,Anne Lutkemeyer,935977.0,935977.0,0.0,Anne Lutkemeyer,1,1 - 4,0,0,Double Fault,Body,T,Body,False,Near,48.0,2.0,83.0,4.0,,,,,,,Catherine Gagnon,,False,,,,0,0,1,2,30,15,,,,,,,,,,Double Fault,Ad: Body,,,,,,UCLA,Michigan State University
"Set 1: 1-2, 40-15 Catherine Gagnon Serving",23,1,4,Anne Lutkemeyer,Catherine Gagnon,40-15,1-2,0-0,,Deuce,Catherine Gagnon,Anne Lutkemeyer,984673.0,1028195.0,43522.0,Anne Lutkemeyer,17,13 +,1,0,1st Serve In,Body,Body,,False,Near,-85.0,212.0,,,Down the Line,Forehand,Net,,Down the Line,Backhand,Catherine Gagnon,Error,False,,,,0,0,1,2,40,15,,,,,Down the Line,Forehand,,,,1st Serve In,Deuce: Body,,,Down the Line,Backhand,Error,UCLA,Michigan State University
"Set 1: 2-2, 0-0 Anne Lutkemeyer Serving",24,1,5,Anne Lutkemeyer,Catherine Gagnon,0-0,2-2,0-0,,Deuce,Anne Lutkemeyer,Catherine Gagnon,1081204.0,,,Catherine Gagnon,1,1 - 4,0,0,Double Fault,T,T,T,False,Far,-16.0,-222.0,-61.0,-479.0,,,,,,,Anne Lutkemeyer,,False,,,,0,0,2,2,0,0,,,Double Fault,Deuce: T,,,,,,,,,,,,,UCLA,Michigan State University
"Set 1: 2-2, 0-15 Anne Lutkemeyer Serving",25,1,5,Anne Lutkemeyer,Catherine Gagnon,0-15,2-2,0-0,,Ad,Anne Lutkemeyer,Catherine Gagnon,1087839.0,,,Anne Lutkemeyer,4,1 - 4,1,0,1st Serve In,T,T,,False,Far,-19.0,-206.0,,,Crosscourt,Forehand,Net,,Crosscourt,Backhand,Catherine Gagnon,Error,False,,,,0,0,2,2,0,15,,,1st Serve In,Ad: T,,,,,,,,Crosscourt,Forehand,Crosscourt,Backhand,Error,UCLA,Michigan State University
"Set 1: 2-2, 15-15 Anne Lutkemeyer Serving",26,1,5,Anne Lutkemeyer,Catherine Gagnon,15-15,2-2,0-0,,Deuce,Anne Lutkemeyer,Catherine Gagnon,1090887.0,,,Catherine Gagnon,7,5 - 8,1,0,1st Serve In,T,T,,False,Far,40.0,-185.0,,,Down the Line,Backhand,Net,,Crosscourt,Forehand,Anne Lutkemeyer,Winner,False,,Catherine Gagnon,,0,0,2,2,15,15,,,1st Serve In,Deuce: T,,,Crosscourt,Forehand,Winner,,,Down the Line,Backhand,,,,UCLA,Michigan State University
"Set 1: 2-2, 30-15 Anne Lutkemeyer Serving",27,1,5,Anne Lutkemeyer,Catherine Gagnon,30-15,2-2,0-0,,Ad,Anne Lutkemeyer,Catherine Gagnon,1120515.0,,,Anne Lutkemeyer,4,1 - 4,1,0,1st Serve In,Wide,Wide,,False,Far,-120.0,-177.0,,,Down the Line,Backhand,Wide Left,,Crosscourt,Forehand,Catherine Gagnon,Error,False,,,,0,0,2,2,30,15,,,1st Serve In,Ad: Wide,,,,,,,,Down the Line,Backhand,Crosscourt,Forehand,Error,UCLA,Michigan State University
"Set 1: 2-2, 40-15 Anne Lutkemeyer Serving",28,1,5,Anne Lutkemeyer,Catherine Gagnon,40-15,2-2,0-0,,Deuce,Anne Lutkemeyer,Catherine Gagnon,1177056.0,,,Catherine Gagnon,6,5 - 8,1,0,1st Serve In,Wide,Wide,,False,Far,115.0,-163.0,,,Down the Line,Forehand,,,Down the Line,Forehand,Catherine Gagnon,Winner,False,,,,0,0,2,2,40,15,,,1st Serve In,Deuce: Wide,,,,,,,,Down the Line,Forehand,Down the Line,Forehand,Winner,UCLA,Michigan State University
"Set 1: 2-2, 40-30 Anne Lutkemeyer Serving",29,1,5,Anne Lutkemeyer,Catherine Gagnon,40-30,2-2,0-0,,Ad,Anne Lutkemeyer,Catherine Gagnon,1189805.0,,,Catherine Gagnon,1,1 - 4,0,0,Double Fault,Body,Body,Body,False,Far,-59.0,-1.0,-93.0,-258.0,,,,,,,Anne Lutkemeyer,,False,,,,0,0,2,2,40,30,,,Double Fault,Ad: Body,,,,,,,,,,,,,UCLA,Michigan State University
"Set 1: 2-2, 40-40 Anne Lutkemeyer Serving",30,1,5,Anne Lutkemeyer,Catherine Gagnon,40-40,2-2,0-0,,Ad,Anne Lutkemeyer,Catherine Gagnon,1227381.0,1299131.0,71750.0,Catherine Gagnon,20,13 +,0,1,2nd Serve In,Body,Wide,Body,False,Far,-168.0,-177.0,-88.0,-103.0,Crosscourt,Forehand,,,Crosscourt,Forehand,Catherine Gagnon,Winner,True,,Catherine Gagnon,,0,0,2,2,40,40,,,2nd Serve In,Ad: Body,,,,,,,,Crosscourt,Forehand,Crosscourt,Forehand,Winner,UCLA,Michigan State University
"Set 1: 3-2, 0-0 Catherine Gagnon Serving",31,1,6,Anne Lutkemeyer,Catherine Gagnon,0-0,3-2,0-0,,Deuce,Catherine Gagnon,Anne Lutkemeyer,1427306.0,,,Catherine Gagnon,6,5 - 8,1,0,1st Serve In,Body,Body,,False,Far,99.0,-198.0,,,Down the Line,Forehand,Wide Left,,Crosscourt,Forehand,Anne Lutkemeyer,Error,False,Anne Lutkemeyer,,,0,0,3,2,0,0,,,,,Down the Line,Forehand,Crosscourt,Forehand,Error,1st Serve In,Deuce: Body,,,,,,UCLA,Michigan State University
"Set 1: 3-2, 0-15 Catherine Gagnon Serving",32,1,6,Anne Lutkemeyer,Catherine Gagnon,0-15,3-2,0-0,,Ad,Catherine Gagnon,Anne Lutkemeyer,1468372.0,,,Anne Lutkemeyer,3,1 - 4,1,0,1st Serve In,Wide,Wide,,False,Far,-110.0,-177.0,,,Crosscourt,Backhand,Net,,Down the Line,Backhand,Catherine Gagnon,Error,False,,,,0,0,3,2,0,15,,,,,Crosscourt,Backhand,,,,1st Serve In,Ad: Wide,,,Down the Line,Backhand,Error,UCLA,Michigan State University
"Set 1: 3-2, 15-15 Catherine Gagnon Serving",33,1,6,Anne Lutkemeyer,Catherine Gagnon,15-15,3-2,0-0,,Deuce,Catherine Gagnon,Anne Lutkemeyer,1470790.0,,,Anne Lutkemeyer,9,9 - 12,1,0,1st Serve In,Body,Body,,False,Far,75.0,-134.0,,,Down the Line,Forehand,Wide Right,,Down the Line,Forehand,Catherine Gagnon,Error,False,,,,0,0,3,2,15,15,,,,,Down the Line,Forehand,,,,1st Serve In,Deuce: Body,,,Down the Line,Forehand,Error,UCLA,Michigan State University
"Set 1: 3-2, 30-15 Catherine Gagnon Serving",34,1,6,Anne Lutkemeyer,Catherine Gagnon,30-15,3-2,0-0,,Ad,Catherine Gagnon,Anne Lutkemeyer,1508650.0,,,Anne Lutkemeyer,8,5 - 8,1,0,1st Serve In,Wide,Wide,,False,Far,-132.0,-227.0,,,Down the Line,Backhand,,,Down the Line,Backhand,Anne Lutkemeyer,Winner,False,Anne Lutkemeyer,,,0,0,3,2,30,15,,,,,Down the Line,Backhand,Down the Line,Backhand,Winner,1st Serve In,Ad: Wide,,,,,,UCLA,Michigan State University
"Set 1: 3-2, 40-15 Catherine Gagnon Serving",35,1,6,Anne Lutkemeyer,Catherine Gagnon,40-15,3-2,0-0,,Deuce,Catherine Gagnon,Anne Lutkemeyer,1555760.0,1588394.0,32634.0,Anne Lutkemeyer,2,1 - 4,1,0,1st Serve In,Wide,Wide,,False,Far,120.0,-195.0,,,Down the Line,Forehand,,,Down the Line,Forehand,Anne Lutkemeyer,Winner,False,,,,0,0,3,2,40,15,,,,,Down the Line,Forehand,Down the Line,Forehand,Winner,1st Serve In,Deuce: Wide,,,,,,UCLA,Michigan State University
"Set 1: 3-3, 0-0 Anne Lutkemeyer Serving",36,1,7,Anne Lutkemeyer,Catherine Gagnon,0-0,3-3,0-0,,Deuce,Anne Lutkemeyer,Catherine Gagnon,1613012.0,,,Anne Lutkemeyer,2,1 - 4,1,0,1st Serve In,T,T,,False,Near,-48.0,231.0,,,Crosscourt,Backhand,Net,Net,Crosscourt,Backhand,Catherine Gagnon,Error,False,,,,0,0,3,3,0,0,,,1st Serve In,Deuce: T,,,,,,,,Crosscourt,Backhand,Crosscourt,Backhand,Error,UCLA,Michigan State University
"Set 1: 3-3, 15-0 Anne Lutkemeyer Serving",37,1,7,Anne Lutkemeyer,Catherine Gagnon,15-0,3-3,0-0,,Ad,Anne Lutkemeyer,Catherine Gagnon,1617371.0,,,Catherine Gagnon,3,1 - 4,1,0,1st Serve In,Body,Body,,False,Near,75.0,204.0,,,Down the Line,Backhand,Wide Left,,Crosscourt,Forehand,Anne Lutkemeyer,Error,False,,,,0,0,3,3,15,0,,,1st Serve In,Ad: Body,,,Crosscourt,Forehand,Error,,,Down the Line,Backhand,,,,UCLA,Michigan State University
"Set 1: 3-3, 15-15 Anne Lutkemeyer Serving",38,1,7,Anne Lutkemeyer,Catherine Gagnon,15-15,3-3,0-0,,Deuce,Anne Lutkemeyer,Catherine Gagnon,1645939.0,,,Catherine Gagnon,6,5 - 8,1,0,1st Serve In,Wide,Wide,,False,Near,-133.0,220.0,,,Crosscourt,Forehand,,,Crosscourt,Backhand,Catherine Gagnon,Winner,False,,,,0,0,3,3,15,15,,,1st Serve In,Deuce: Wide,,,,,,,,Crosscourt,Forehand,Crosscourt,Backhand,Winner,UCLA,Michigan State University
"Set 1: 3-3, 15-30 Anne Lutkemeyer Serving",39,1,7,Anne Lutkemeyer,Catherine Gagnon,15-30,3-3,0-0,,Ad,Anne Lutkemeyer,Catherine Gagnon,1697888.0,,,Anne Lutkemeyer,11,9 - 12,0,1,2nd Serve In,Wide,Body,Wide,False,Near,83.0,2.0,117.0,225.0,Down the Line,Backhand,,,Down the Line,Backhand,Anne Lutkemeyer,Winner,False,,,,0,0,3,3,15,30,,,2nd Serve In,Ad: Wide,,,Down the Line,Backhand,Winner,,,Down the Line,Backhand,,,,UCLA,Michigan State University
"Set 1: 3-3, 30-30 Anne Lutkemeyer Serving",40,1,7,Anne Lutkemeyer,Catherine Gagnon,30-30,3-3,0-0,,Deuce,Anne Lutkemeyer,Catherine Gagnon,1747276.0,,,Anne Lutkemeyer,1,1 - 4,1,0,1st Serve In,Wide,Wide,,True,Near,-141.0,196.0,,,,,,,,,Anne Lutkemeyer,,False,,,,0,0,3,3,30,30,,,Ace,Deuce: Wide,,,,,,,,,,,,,UCLA,Michigan State University
"Set 1: 3-3, 40-30 Anne Lutkemeyer Serving",41,1,7,Anne Lutkemeyer,Catherine Gagnon,40-30,3-3,0-0,,Ad,Anne Lutkemeyer,Catherine Gagnon,1795080.0,,,Catherine Gagnon,3,1 - 4,1,0,1st Serve In,Body,Body,,False,Near,77.0,207.0,,,Crosscourt,Backhand,Long,,Crosscourt,Forehand,Anne Lutkemeyer,Error,False,,,,0,0,3,3,40,30,,,1st Serve In,Ad: Body,,,Crosscourt,Forehand,Error,,,Crosscourt,Backhand,,,,UCLA,Michigan State University
"Set 1: 3-3, 40-40 Anne Lutkemeyer Serving",42,1,7,Anne Lutkemeyer,Catherine Gagnon,40-40,3-3,0-0,,Ad,Anne Lutkemeyer,Catherine Gagnon,1798707.0,1840075.0,41368.0,Anne Lutkemeyer,6,5 - 8,1,0,1st Serve In,T,T,,False,Near,35.0,223.0,,,Crosscourt,Forehand,Wide Left,,Down the Line,Backhand,Catherine Gagnon,Error,True,,,,0,0,3,3,40,40,,,1st Serve In,Ad: T,,,,,,,,Crosscourt,Forehand,Down the Line,Backhand,Error,UCLA,Michigan State University
"Set 1: 3-4, 0-0 Catherine Gagnon Serving",43,1,8,Anne Lutkemeyer,Catherine Gagnon,0-0,3-4,0-0,,Deuce,Catherine Gagnon,Anne Lutkemeyer,1935825.0,,,Catherine Gagnon,2,1 - 4,1,0,1st Serve In,Wide,Wide,,False,Near,-128.0,218.0,,,Down the Line,Forehand,Long,Long,Down the Line,Forehand,Anne Lutkemeyer,Error,False,,,,0,0,3,4,0,0,,,,,Down the Line,Forehand,Down the Line,Forehand,Error,1st Serve In,Deuce: Wide,,,,,,UCLA,Michigan State University
"Set 1: 3-4, 0-15 Catherine Gagnon Serving",44,1,8,Anne Lutkemeyer,Catherine Gagnon,0-15,3-4,0-0,,Ad,Catherine Gagnon,Anne Lutkemeyer,1945627.0,,,Anne Lutkemeyer,5,5 - 8,0,1,2nd Serve In,Wide,Body,Wide,False,Near,91.0,2.0,109.0,217.0,Crosscourt,Backhand,Wide Left,,Down the Line,Backhand,Catherine Gagnon,Error,False,,,,0,0,3,4,0,15,,,,,Crosscourt,Backhand,,,,2nd Serve In,Ad: Wide,,,Down the Line,Backhand,Error,UCLA,Michigan State University
"Set 1: 3-4, 15-15 Catherine Gagnon Serving",45,1,8,Anne Lutkemeyer,Catherine Gagnon,15-15,3-4,0-0,,Deuce,Catherine Gagnon,Anne Lutkemeyer,1994735.0,,,Anne Lutkemeyer,3,1 - 4,1,0,1st Serve In,Wide,Wide,,False,Near,-125.0,212.0,,,Down the Line,Forehand,Wide Right,,Down the Line,Forehand,Catherine Gagnon,Error,False,,,,0,0,3,4,15,15,,,,,Down the Line,Forehand,,,,1st Serve In,Deuce: Wide,,,Down the Line,Forehand,Error,UCLA,Michigan State University
"Set 1: 3-4, 30-15 Catherine Gagnon Serving",46,1,8,Anne Lutkemeyer,Catherine Gagnon,30-15,3-4,0-0,,Ad,Catherine Gagnon,Anne Lutkemeyer,2025345.0,,,Anne Lutkemeyer,3,1 - 4,1,0,1st Serve In,Wide,Wide,,False,Near,115.0,231.0,,,Crosscourt,Backhand,Long,,Crosscourt,Backhand,Catherine Gagnon,Error,False,,,,0,0,3,4,30,15,,,,,Crosscourt,Backhand,,,,1st Serve In,Ad: Wide,,,Crosscourt,Backhand,Error,UCLA,Michigan State University
