pointNumber,player1Name,player2Name,pointScore,gameScore,setScore,tiebreakScore,side,serverName,returnerName,clientTeam,opponentTeam,Position,pointEndPosition,Duration,rallyCount,rallyCountFreq,firstServeIn,secondServeIn,serveResult,serveInPlacement,firstServeZone,secondServeZone,isAce,serverFarNear,serverStartLocation,returnerStartLocation,firstServeXCoord,firstServeYCoord,secondServeXCoord,secondServeYCoord,returnDirection,returnFhBh,errorType,returnError,lastShotDirection,lastShotFhBh,lastShotHitBy,lastShotResult,pointWonBy,isExcitingPoint,isBreakPoint,atNetPlayer1,atNetPlayer2,setNum,player1SetScore,player2SetScore,player1GameScore,player2GameScore,player1PointScore,player2PointScore,player1TiebreakScore,player2TiebreakScore,gameNumber,player1ServeResult,player1ServePlacement,player1ReturnPlacement,player1ReturnFhBh,player1LastShotPlacement,player1LastShotFhBh,player1LastShotResult,player2ServeResult,player2ServePlacement,player2ReturnPlacement,player2ReturnFhBh,player2LastShotPlacement,player2LastShotFhBh,player2LastShotResult,deepCountPlayer1,deepCountPlayer2,shortCountPlayer1,shortCountPlayer2,Name
11,Rudy Quan,Edward Winter,0-0,1-Jan,0-0,,Deuce,Edward Winter,Rudy Quan,UCLA,Pepperdine,473999,491000,17001,7,8-May,0,1,2nd Serve In,T,Wide,T,FALSE,Near,,,-153.4452209,270.4991689,-49.67561789,242.6105534,Down the Line,Backhand,Net,,Down the Line,Backhand,Edward Winter,Error,Rudy Quan,0,FALSE,,,1,0,0,1,1,0,0,,,3,,,Down the Line,Backhand,,,,2nd Serve In,Deuce: T,,,Down the Line,Backhand,Error,1,1,1,2,"Set 1: 1-1, 0-0 Edward Winter Serving"
12,Rudy Quan,Edward Winter,0-15,1-Jan,0-0,,Ad,Edward Winter,Rudy Quan,UCLA,Pepperdine,519000,529999,10999,2,4-Jan,0,1,2nd Serve In,T,T,T,FALSE,Near,,,-8.344269466,308.6637139,50.4888014,233.5048119,Crosscourt,Forehand,Wide Right,Wide Right,Crosscourt,Forehand,Rudy Quan,Error,Edward Winter,0,FALSE,,,1,0,0,1,1,0,15,,,3,,,Crosscourt,Forehand,Crosscourt,Forehand,Error,2nd Serve In,Ad: T,,,,,,0,0,0,0,"Set 1: 1-1, 0-15 Edward Winter Serving"
13,Rudy Quan,Edward Winter,15-15,1-Jan,0-0,,Deuce,Edward Winter,Rudy Quan,UCLA,Pepperdine,548792,557000,8208,4,4-Jan,1,0,1st Serve In,Body,Body,,FALSE,Near,,,-104.5797244,220.4525755,,,Down the Line,Forehand,Net,,Crosscourt,Backhand,Rudy Quan,Error,Edward Winter,0,FALSE,,,1,0,0,1,1,15,15,,,3,,,Down the Line,Forehand,Crosscourt,Backhand,Error,1st Serve In,Deuce: Body,,,,,,1,0,0,1,"Set 1: 1-1, 15-15 Edward Winter Serving"
14,Rudy Quan,Edward Winter,30-15,1-Jan,0-0,,Ad,Edward Winter,Rudy Quan,UCLA,Pepperdine,580999,599999,19000,8,8-May,0,1,2nd Serve In,Body,Wide,Body,FALSE,Near,,,111.825421,315.1134514,94.78248031,242.9953084,Crosscourt,Backhand,,,Down the Line,Forehand,Rudy Quan,Winner,Rudy Quan,0,FALSE,,,1,0,0,1,1,30,15,,,3,,,Crosscourt,Backhand,Down the Line,Forehand,Winner,2nd Serve In,Ad: Body,,,,,,1,1,2,3,"Set 1: 1-1, 30-15 Edward Winter Serving"
15,Rudy Quan,Edward Winter,30-30,1-Jan,0-0,,Deuce,Edward Winter,Rudy Quan,UCLA,Pepperdine,621422,643999,22577,14,13+,1,0,1st Serve In,Wide,Wide,,FALSE,Near,,,-154.7870407,238.9355534,,,Down the Line,Forehand,,,Crosscourt,Forehand,Rudy Quan,Winner,Rudy Quan,0,FALSE,Rudy Quan,,1,0,0,1,1,30,30,,,3,,,Down the Line,Forehand,Crosscourt,Forehand,Winner,1st Serve In,Deuce: Wide,,,,,,1,5,5,2,"Set 1: 1-1, 30-30 Edward Winter Serving"
16,Rudy Quan,Edward Winter,30-40,1-Jan,0-0,,Ad,Edward Winter,Rudy Quan,UCLA,Pepperdine,665654,684000,18346,9,12-Sep,1,0,1st Serve In,Body,Body,,FALSE,Near,,,65.41907262,244.9052275,,,Crosscourt,Forehand,Long,,Down the Line,Backhand,Edward Winter,Error,Rudy Quan,0,TRUE,,,1,0,0,1,1,30,40,,,3,,,Crosscourt,Forehand,,,,1st Serve In,Ad: Body,,,Down the Line,Backhand,Error,0,1,3,3,"Set 1: 1-1, 30-40 Edward Winter Serving"
17,Rudy Quan,Edward Winter,40-40,1-Jan,0-0,,Ad,Edward Winter,Rudy Quan,UCLA,Pepperdine,712198,724000,11802,6,8-May,1,0,1st Serve In,Body,Body,,FALSE,Near,,,101.7141951,244.6774059,,,Down the Line,Backhand,Long,,Crosscourt,Backhand,Rudy Quan,Error,Edward Winter,0,TRUE,,,1,0,0,1,1,40,40,,,3,,,Down the Line,Backhand,Crosscourt,Backhand,Error,1st Serve In,Ad: Body,,,,,,1,0,1,2,"Set 1: 1-1, 40-40 Edward Winter Serving"
18,Rudy Quan,Edward Winter,0-0,2-Jan,0-0,,Deuce,Rudy Quan,Edward Winter,UCLA,Pepperdine,827420,832000,4580,1,4-Jan,1,0,1st Serve In,T,T,,TRUE,Near,,,-29.8126203,220.0579068,,,,,,,,,Rudy Quan,,Rudy Quan,0,FALSE,,,1,0,0,1,2,0,0,,,4,Ace,Deuce: T,,,,,,,,,,,,,0,0,0,0,"Set 1: 1-2, 0-0 Rudy Quan Serving"
19,Rudy Quan,Edward Winter,15-0,2-Jan,0-0,,Ad,Rudy Quan,Edward Winter,UCLA,Pepperdine,852400,856000,3600,1,4-Jan,1,0,1st Serve In,T,T,,TRUE,Near,,,2.672654199,234.1193406,,,,,,,,,Rudy Quan,,Rudy Quan,0,FALSE,,,1,0,0,1,2,15,0,,,4,Ace,Ad: T,,,,,,,,,,,,,0,0,0,0,"Set 1: 1-2, 15-0 Rudy Quan Serving"
20,Rudy Quan,Edward Winter,30-0,2-Jan,0-0,,Deuce,Rudy Quan,Edward Winter,UCLA,Pepperdine,886062,891000,4938,1,4-Jan,0,0,Double Fault,Body,Wide,Body,FALSE,Near,,,-171.0839348,257.7781387,-80.44691054,-243.4401192,,,Net,,,,Rudy Quan,,Edward Winter,0,FALSE,,,1,0,0,1,2,30,0,,,4,Double Fault,Deuce: Body,,,,,,,,,,,,,0,0,0,0,"Set 1: 1-2, 30-0 Rudy Quan Serving"
21,Rudy Quan,Edward Winter,30-15,2-Jan,0-0,,Ad,Rudy Quan,Edward Winter,UCLA,Pepperdine,926061,939999,13938,7,8-May,0,1,2nd Serve In,Wide,T,Wide,FALSE,Near,,,2.035618985,244.7867618,118.7714129,239.5296041,Crosscourt,Backhand,Wide Left,,Down the Line,Backhand,Rudy Quan,Error,Edward Winter,0,FALSE,Rudy Quan,,1,0,0,1,2,30,15,,,4,2nd Serve In,Ad: Wide,,,Down the Line,Backhand,Error,,,Crosscourt,Backhand,,,,1,1,1,1,"Set 1: 1-2, 30-15 Rudy Quan Serving"
22,Rudy Quan,Edward Winter,30-30,2-Jan,0-0,,Deuce,Rudy Quan,Edward Winter,UCLA,Pepperdine,969558,989000,19442,1,4-Jan,0,0,Double Fault,Body,T,Body,FALSE,Near,,,32.35704834,243.597091,-57.91340223,-4.994198381,,,Net,,,,Rudy Quan,,Edward Winter,0,FALSE,,,1,0,0,1,2,30,30,,,4,Double Fault,Deuce: Body,,,,,,,,,,,,,0,0,0,0,"Set 1: 1-2, 30-30 Rudy Quan Serving"
23,Rudy Quan,Edward Winter,30-40,2-Jan,0-0,,Ad,Rudy Quan,Edward Winter,UCLA,Pepperdine,1010694,1024000,13306,7,8-May,1,0,1st Serve In,Wide,Wide,,FALSE,Near,,,147.6809766,243.8440125,,,Down the Line,Backhand,,,Down the Line,Forehand,Rudy Quan,Winner,Rudy Quan,0,TRUE,Rudy Quan,,1,0,0,1,2,30,40,,,4,1st Serve In,Ad: Wide,,,Down the Line,Forehand,Winner,,,Down the Line,Backhand,,,,0,1,3,2,"Set 1: 1-2, 30-40 Rudy Quan Serving"
24,Rudy Quan,Edward Winter,40-40,2-Jan,0-0,,Ad,Rudy Quan,Edward Winter,UCLA,Pepperdine,1069441,1087000,17559,10,12-Sep,0,1,2nd Serve In,Wide,Body,Wide,FALSE,Near,,,85.09654418,-38.75717957,118.2422408,242.2870024,Down the Line,Backhand,Net,,Crosscourt,Forehand,Edward Winter,Error,Rudy Quan,0,TRUE,,,1,0,0,1,2,40,40,,,4,2nd Serve In,Ad: Wide,,,,,,,,Down the Line,Backhand,Crosscourt,Forehand,Error,1,1,3,3,"Set 1: 1-2, 40-40 Rudy Quan Serving"
25,Rudy Quan,Edward Winter,0-0,2-Feb,0-0,,Deuce,Edward Winter,Rudy Quan,UCLA,Pepperdine,1117286,1126000,8714,4,4-Jan,1,0,1st Serve In,T,T,,FALSE,Far,,,47.76309602,-227.9492892,,,Crosscourt,Backhand,Wide Right,,Crosscourt,Backhand,Rudy Quan,Error,Edward Winter,0,FALSE,,,1,0,0,2,2,0,0,,,5,,,Crosscourt,Backhand,Crosscourt,Backhand,Error,1st Serve In,Deuce: T,,,,,,0,1,1,0,"Set 1: 2-2, 0-0 Edward Winter Serving"
26,Rudy Quan,Edward Winter,15-0,2-Feb,0-0,,Ad,Edward Winter,Rudy Quan,UCLA,Pepperdine,1138296,1165000,26704,12,12-Sep,1,0,1st Serve In,Wide,Wide,,FALSE,Far,,,-147.2736767,-225.7863244,,,Crosscourt,Backhand,Long,,Down the Line,Forehand,Rudy Quan,Error,Edward Winter,,FALSE,,,1,0,0,2,2,15,0,,,5,,,Crosscourt,Backhand,Down the Line,Forehand,Error,1st Serve In,Ad: Wide,,,,,,1,2,4,3,"Set 1: 2-2, 15-0 Edward Winter Serving"
