Name,pointNumber,setNum,gameNumber,player1Name,player2Name,pointScore,gameScore,setScore,tiebreakScore,side,serverName,returnerName,Position,pointEndPosition,Duration,pointWonBy,rallyCount,rallyCountFreq,firstServeIn,secondServeIn,serveResult,serveInPlacement,firstServeZone,secondServeZone,isAce,serverFarNear,firstServeXCoord,firstServeYCoord,secondServeXCoord,secondServeYCoord,returnDirection,returnFhBh,errorType,returnError,lastShotDirection,lastShotFhBh,lastShotHitBy,lastShotResult,isBreakPoint,atNetPlayer1,atNetPlayer2,isExcitingPoint,player1SetScore,player2SetScore,player1GameScore,player2GameScore,player1PointScore,player2PointScore,player1TiebreakScore,player2TiebreakScore,player1ServeResult,player1ServePlacement,player1ReturnPlacement,player1ReturnFhBh,player1LastShotPlacement,player1LastShotFhBh,player1LastShotResult,player2ServeResult,player2ServePlacement,player2ReturnPlacement,player2ReturnFhBh,player2LastShotPlacement,player2LastShotFhBh,player2LastShotResult,clientTeam,opponentTeam
"Set 2: 2-0, 30-0 Gustaf Strom Serving",62,2,3,Spencer Johnson,Gustaf Strom,30-0,2-0,1-0,,Deuce,Gustaf Strom,Spencer Johnson,3246607.0,,,Spencer Johnson,7,5 - 8,1,0,1st Serve In,Wide,Wide,,False,Far,130.0,-155.0,,,Down the Line,Backhand,Net,,Down the Line,Forehand,Gustaf Strom,Error,False,,,,1,0,2,0,30,0,,,,,Down the Line,Backhand,,,,1st Serve In,Deuce: Wide,,,Down the Line,Forehand,Error,UCLA,U of Arizona
"Set 2: 2-0, 40-0 Gustaf Strom Serving",63,2,3,Spencer Johnson,Gustaf Strom,40-0,2-0,1-0,,Ad,Gustaf Strom,Spencer Johnson,3291198.0,3308673.0,17475.0,Spencer Johnson,5,5 - 8,0,1,2nd Serve In,T,Wide,T,False,Far,-163.0,-201.0,-46.0,-155.0,Crosscourt,Backhand,Wide Right,,Down the Line,Forehand,Gustaf Strom,Error,False,,,,1,0,2,0,40,0,,,,,Crosscourt,Backhand,,,,2nd Serve In,Ad: T,,,Down the Line,Forehand,Error,UCLA,U of Arizona
"Set 2: 3-0, 0-0 Spencer Johnson Serving",64,2,4,Spencer Johnson,Gustaf Strom,0-0,3-0,1-0,,Deuce,Spencer Johnson,Gustaf Strom,3418983.0,3447863.0,28880.0,Gustaf Strom,7,5 - 8,0,1,2nd Serve In,Body,T,Body,False,Far,39.0,2.0,68.0,-177.0,Crosscourt,Forehand,Net,,Down the Line,Backhand,Spencer Johnson,Error,False,,,,1,0,3,0,0,0,,,2nd Serve In,Deuce: Body,,,Down the Line,Backhand,Error,,,Crosscourt,Forehand,,,,UCLA,U of Arizona
"Set 2: 3-0, 0-15 Spencer Johnson Serving",65,2,4,Spencer Johnson,Gustaf Strom,0-15,3-0,1-0,,Ad,Spencer Johnson,Gustaf Strom,3475745.0,3480326.0,4581.0,Spencer Johnson,2,1 - 4,1,0,1st Serve In,Body,Body,,False,Far,-78.0,-219.0,,,Crosscourt,Forehand,Long,Long,Crosscourt,Forehand,Gustaf Strom,Error,False,,,,1,0,3,0,0,15,,,1st Serve In,Ad: Body,,,,,,,,Crosscourt,Forehand,Crosscourt,Forehand,Error,UCLA,U of Arizona
"Set 2: 3-0, 15-15 Spencer Johnson Serving",66,2,4,Spencer Johnson,Gustaf Strom,15-15,3-0,1-0,,Deuce,Spencer Johnson,Gustaf Strom,3497206.0,3516020.0,18814.0,Gustaf Strom,3,1 - 4,0,1,2nd Serve In,T,Body,T,False,Far,103.0,-1.0,39.0,-177.0,Crosscourt,Backhand,Wide Left,,Crosscourt,Forehand,Spencer Johnson,Error,False,,,,1,0,3,0,15,15,,,2nd Serve In,Deuce: T,,,Crosscourt,Forehand,Error,,,Crosscourt,Backhand,,,,UCLA,U of Arizona
"Set 2: 3-0, 15-30 Spencer Johnson Serving",67,2,4,Spencer Johnson,Gustaf Strom,15-30,3-0,1-0,,Ad,Spencer Johnson,Gustaf Strom,3551572.0,3555528.0,3956.0,Gustaf Strom,3,1 - 4,1,0,1st Serve In,Wide,Wide,,False,Far,-115.0,-123.0,,,Crosscourt,Backhand,Net,,Down the Line,Forehand,Spencer Johnson,Error,False,,,,1,0,3,0,15,30,,,1st Serve In,Ad: Wide,,,Down the Line,Forehand,Error,,,Crosscourt,Backhand,,,,UCLA,U of Arizona
"Set 2: 3-0, 15-40 Spencer Johnson Serving",68,2,4,Spencer Johnson,Gustaf Strom,15-40,3-0,1-0,,Deuce,Spencer Johnson,Gustaf Strom,3585037.0,3588310.0,3273.0,Spencer Johnson,2,1 - 4,1,0,1st Serve In,T,T,,False,Far,34.0,-163.0,,,Down the Line,Backhand,Net,Net,Down the Line,Backhand,Gustaf Strom,Error,True,,,,1,0,3,0,15,40,,,1st Serve In,Deuce: T,,,,,,,,Down the Line,Backhand,Down the Line,Backhand,Error,UCLA,U of Arizona
"Set 2: 3-0, 30-40 Spencer Johnson Serving",69,2,4,Spencer Johnson,Gustaf Strom,30-40,3-0,1-0,,Ad,Spencer Johnson,Gustaf Strom,3615611.0,3637076.0,21465.0,Spencer Johnson,2,1 - 4,0,1,2nd Serve In,Wide,T,Wide,False,Far,-30.0,-299.0,-110.0,-182.0,Down the Line,Backhand,Wide Left,Wide Left,Down the Line,Backhand,Gustaf Strom,Error,True,,,,1,0,3,0,30,40,,,2nd Serve In,Ad: Wide,,,,,,,,Down the Line,Backhand,Down the Line,Backhand,Error,UCLA,U of Arizona
"Set 2: 3-0, 40-40 Spencer Johnson Serving",70,2,4,Spencer Johnson,Gustaf Strom,40-40,3-0,1-0,,Deuce,Spencer Johnson,Gustaf Strom,3667305.0,3686673.0,19368.0,Spencer Johnson,2,1 - 4,0,1,2nd Serve In,T,Body,T,False,Far,50.0,-1.0,34.0,-153.0,Crosscourt,Backhand,Net,Net,Crosscourt,Backhand,Gustaf Strom,Error,True,,,,1,0,3,0,40,40,,,2nd Serve In,Deuce: T,,,,,,,,Crosscourt,Backhand,Crosscourt,Backhand,Error,UCLA,U of Arizona
"Set 2: 4-0, 0-0 Gustaf Strom Serving",71,2,5,Spencer Johnson,Gustaf Strom,0-0,4-0,1-0,,Deuce,Gustaf Strom,Spencer Johnson,3721057.0,3730687.0,9630.0,Gustaf Strom,2,1 - 4,1,0,1st Serve In,Wide,Wide,,False,Near,-123.0,148.0,,,Down the Line,Backhand,Net,Net,Down the Line,Backhand,Spencer Johnson,Error,False,,,,1,0,4,0,0,0,,,,,Down the Line,Backhand,Down the Line,Backhand,Error,1st Serve In,Deuce: Wide,,,,,,UCLA,U of Arizona
