pointNumber,player1Name,player2Name,pointScore,gameScore,setScore,tiebreakScore,side,serverName,returnerName,clientTeam,opponentTeam,Position,pointEndPosition,Duration,rallyCount,rallyCountFreq,firstServeIn,secondServeIn,serveResult,serveInPlacement,firstServeZone,secondServeZone,isAce,serverFarNear,serverStartLocation,returnerStartLocation,firstServeXCoord,firstServeYCoord,secondServeXCoord,secondServeYCoord,returnDirection,returnFhBh,errorType,returnError,lastShotDirection,lastShotFhBh,lastShotHitBy,lastShotResult,pointWonBy,isExcitingPoint,isBreakPoint,atNetPlayer1,atNetPlayer2,setNum,player1SetScore,player2SetScore,player1GameScore,player2GameScore,player1PointScore,player2PointScore,player1TiebreakScore,player2TiebreakScore,gameNumber,player1ServeResult,player1ServePlacement,player1ReturnPlacement,player1ReturnFhBh,player1LastShotPlacement,player1LastShotFhBh,player1LastShotResult,player2ServeResult,player2ServePlacement,player2ReturnPlacement,player2ReturnFhBh,player2LastShotPlacement,player2LastShotFhBh,player2LastShotResult,deepCountPlayer1,deepCountPlayer2,shortCountPlayer1,shortCountPlayer2,Name
122,Emon Van Loben Sels,Derrick Chen,30-15,0-3,1-1,,Ad,Derrick Chen,Emon Van Loben Sels,UCLA,University of California-Berkeley,6951591.0,6961433.0,9842.0,4,1-4,1,0,1st Serve In,Body,Body,,False,Far,,,-90.0,-104.0,,,Crosscourt,Backhand,,,Crosscourt,Forehand,Emon Van Loben Sels,Winner,Emon Van Loben Sels,,False,,,3,1,1,0,3,30,15,,,4,,,Crosscourt,Backhand,Crosscourt,Forehand,Winner,1st Serve In,Ad: Body,,,,,,0.0,1.0,1.0,1.0,"Set 3: 0-3, 30-15 Derrick Chen Serving"
123,Emon Van Loben Sels,Derrick Chen,30-30,0-3,1-1,,Deuce,Derrick Chen,Emon Van Loben Sels,UCLA,University of California-Berkeley,6990135.0,7006408.0,16273.0,4,1-4,1,0,1st Serve In,T,T,,False,Far,,,8.0,-155.0,,,Crosscourt,Backhand,Wide Right,,Down the Line,Forehand,Emon Van Loben Sels,Error,Derrick Chen,,False,,,3,1,1,0,3,30,30,,,4,,,Crosscourt,Backhand,Down the Line,Forehand,Error,1st Serve In,Deuce: T,,,,,,0.0,1.0,1.0,0.0,"Set 3: 0-3, 30-30 Derrick Chen Serving"
124,Emon Van Loben Sels,Derrick Chen,40-30,0-3,1-1,,Ad,Derrick Chen,Emon Van Loben Sels,UCLA,University of California-Berkeley,7022715.0,7032409.0,9694.0,1,1-4,1,0,1st Serve In,T,T,,True,Far,,,-32.0,-200.0,,,,,,,,,Derrick Chen,,Derrick Chen,,False,,,3,1,1,0,3,40,30,,,4,Ace,,,,,,,1st Serve In,Ad: T,,,,,,0.0,0.0,0.0,0.0,"Set 3: 0-3, 40-30 Derrick Chen Serving"
125,Emon Van Loben Sels,Derrick Chen,0-0,0-4,1-1,,Deuce,Emon Van Loben Sels,Derrick Chen,UCLA,University of California-Berkeley,7058996.0,7061148.0,2152.0,5,5-8,1,0,1st Serve In,T,T,,False,Near,,,-32.0,141.0,,,Down the Line,Backhand,,,Down the Line,Backhand,Emon Van Loben Sels,Winner,Emon Van Loben Sels,,False,,,3,1,1,0,4,0,0,,,5,1st Serve In,Deuce: T,,,Down the Line,Backhand,Winner,,,Down the Line,Backhand,,,,0.0,1.0,1.0,0.0,"Set 3: 0-4, 0-0 Emon Van Loben Sels Serving"
126,Emon Van Loben Sels,Derrick Chen,0-15,0-4,1-1,,Ad,Emon Van Loben Sels,Derrick Chen,UCLA,University of California-Berkeley,7080743.0,7094459.0,13716.0,9,9-12,1,0,1st Serve In,Body,Body,,False,Near,,,83.0,163.0,,,Crosscourt,Backhand,,,Crosscourt,Forehand,Emon Van Loben Sels,Winner,Emon Van Loben Sels,,False,Emon Van Loben Sels,,3,1,1,0,4,0,15,,,5,1st Serve In,Ad: Body,,,Crosscourt,Forehand,Winner,,,Crosscourt,Backhand,,,,0.0,1.0,4.0,3.0,"Set 3: 0-4, 0-15 Emon Van Loben Sels Serving"
127,Emon Van Loben Sels,Derrick Chen,15-15,0-4,1-1,,Deuce,Emon Van Loben Sels,Derrick Chen,UCLA,University of California-Berkeley,7118818.0,7131261.0,12443.0,7,5-8,1,0,1st Serve In,T,T,,False,Near,,,-16.0,101.0,,,Down the Line,Backhand,Net,,Down the Line,Backhand,Emon Van Loben Sels,Error,Derrick Chen,,False,,Derrick Chen,3,1,1,0,4,15,15,,,5,1st Serve In,Deuce: T,,,Down the Line,Backhand,Error,,,Down the Line,Backhand,,,,1.0,0.0,2.0,2.0,"Set 3: 0-4, 15-15 Emon Van Loben Sels Serving"
128,Emon Van Loben Sels,Derrick Chen,15-30,0-4,1-1,,Ad,Emon Van Loben Sels,Derrick Chen,UCLA,University of California-Berkeley,7152642.0,7157750.0,5108.0,2,1-4,1,0,1st Serve In,Wide,Wide,,False,Near,,,134.0,155.0,,,Crosscourt,Backhand,Wide Right,Wide Right,Crosscourt,Backhand,Derrick Chen,Error,Emon Van Loben Sels,,False,,,3,1,1,0,4,15,30,,,5,1st Serve In,Ad: Wide,,,,,,,,Crosscourt,Backhand,Crosscourt,Backhand,Error,0.0,0.0,0.0,0.0,"Set 3: 0-4, 15-30 Emon Van Loben Sels Serving"
129,Emon Van Loben Sels,Derrick Chen,30-30,0-4,1-1,,Deuce,Emon Van Loben Sels,Derrick Chen,UCLA,University of California-Berkeley,7177267.0,7181664.0,4397.0,3,1-4,1,0,1st Serve In,Wide,Wide,,False,Near,,,-144.0,53.0,,,Crosscourt,Backhand,Net,,Down the Line,Forehand,Emon Van Loben Sels,Error,Derrick Chen,,False,,,3,1,1,0,4,30,30,,,5,1st Serve In,Deuce: Wide,,,Down the Line,Forehand,Error,,,Crosscourt,Backhand,,,,0.0,0.0,1.0,0.0,"Set 3: 0-4, 30-30 Emon Van Loben Sels Serving"
130,Emon Van Loben Sels,Derrick Chen,30-40,0-4,1-1,,Ad,Emon Van Loben Sels,Derrick Chen,UCLA,University of California-Berkeley,7201221.0,7212501.0,11280.0,6,5-8,1,0,1st Serve In,Body,Body,,False,Near,,,67.0,107.0,,,Crosscourt,Backhand,Long,,Crosscourt,Backhand,Derrick Chen,Error,Emon Van Loben Sels,,True,,,3,1,1,0,4,30,40,,,5,1st Serve In,Ad: Body,,,,,,,,Crosscourt,Backhand,Crosscourt,Backhand,Error,0.0,1.0,2.0,1.0,"Set 3: 0-4, 30-40 Emon Van Loben Sels Serving"
131,Emon Van Loben Sels,Derrick Chen,40-40,0-4,1-1,,Deuce,Emon Van Loben Sels,Derrick Chen,UCLA,University of California-Berkeley,7232959.0,7239319.0,6360.0,2,1-4,1,0,1st Serve In,T,T,,False,Near,,,-26.0,165.0,,,Crosscourt,Backhand,Wide Left,Wide Left,Crosscourt,Backhand,Derrick Chen,Error,Emon Van Loben Sels,,True,,,3,1,1,0,4,40,40,,,5,1st Serve In,Deuce: T,,,,,,,,Crosscourt,Backhand,Crosscourt,Backhand,Error,0.0,0.0,0.0,0.0,"Set 3: 0-4, 40-40 Emon Van Loben Sels Serving"
