pointNumber,player1Name,player2Name,pointScore,gameScore,setScore,tiebreakScore,side,serverName,returnerName,clientTeam,opponentTeam,Position,pointEndPosition,Duration,rallyCount,rallyCountFreq,firstServeIn,secondServeIn,serveResult,serveInPlacement,firstServeZone,secondServeZone,isAce,serverFarNear,serverStartLocation,returnerStartLocation,firstServeXCoord,firstServeYCoord,secondServeXCoord,secondServeYCoord,returnDirection,returnFhBh,errorType,returnError,lastShotDirection,lastShotFhBh,lastShotHitBy,lastShotResult,pointWonBy,isExcitingPoint,isBreakPoint,atNetPlayer1,atNetPlayer2,setNum,player1SetScore,player2SetScore,player1GameScore,player2GameScore,player1PointScore,player2PointScore,player1TiebreakScore,player2TiebreakScore,gameNumber,player1ServeResult,player1ServePlacement,player1ReturnPlacement,player1ReturnFhBh,player1LastShotPlacement,player1LastShotFhBh,player1LastShotResult,player2ServeResult,player2ServePlacement,player2ReturnPlacement,player2ReturnFhBh,player2LastShotPlacement,player2LastShotFhBh,player2LastShotResult,deepCountPlayer1,deepCountPlayer2,shortCountPlayer1,shortCountPlayer2,Name
24,Alexander Hoogmartens,Aleksa Pisaric,0-0,2-2,0-0,,Deuce,Alexander Hoogmartens,Aleksa Pisaric,"Univeristy of California, Los Angeles",Pepperdine,939210.0,949440.0,10230.0,2,1-4,0,1,2nd Serve In,Body,Wide,Body,False,Near,,,-124.170729440006,322.860033901845,-100.819674103185,235.688981845898,Crosscourt,Forehand,Wide Left,Wide Left,Crosscourt,Forehand,Aleksa Pisaric,Error,Alexander Hoogmartens,0.0,False,,,1,0,0,2,2,0,0,,,5,2nd Serve In,Deuce: Body,,,,,,,,Crosscourt,Forehand,Crosscourt,Forehand,Error,0.0,0.0,0.0,0.0,"Set 1: 2-2, 0-0 Alexander Hoogmartens Serving"
25,Alexander Hoogmartens,Aleksa Pisaric,15-0,2-2,0-0,,Ad,Alexander Hoogmartens,Aleksa Pisaric,"Univeristy of California, Los Angeles",Pepperdine,973210.0,979770.0,6560.0,6,5-8,1,0,1st Serve In,Wide,Wide,,False,Near,,,155.934033245764,242.696369203724,,,Crosscourt,Backhand,,,Crosscourt,Forehand,Aleksa Pisaric,Winner,Aleksa Pisaric,0.0,False,,,1,0,0,2,2,15,0,,,5,1st Serve In,Ad: Wide,,,,,,,,Crosscourt,Backhand,Crosscourt,Forehand,Winner,0.0,0.0,3.0,1.0,"Set 1: 2-2, 15-0 Alexander Hoogmartens Serving"
26,Alexander Hoogmartens,Aleksa Pisaric,15-15,2-2,0-0,,Deuce,Alexander Hoogmartens,Aleksa Pisaric,"Univeristy of California, Los Angeles",Pepperdine,1008739.0,1009440.0,701.0,2,1-4,0,0,Double Fault,,Wide,,False,Near,,,-117.520461504751,269.555692257079,,,Down the Line,Forehand,Net,Net,Down the Line,Forehand,Aleksa Pisaric,Error,Alexander Hoogmartens,0.0,False,,,1,0,0,2,2,15,15,,,5,Double Fault,,,,,,,,,Down the Line,Forehand,Down the Line,Forehand,Error,0.0,0.0,0.0,0.0,"Set 1: 2-2, 15-15 Alexander Hoogmartens Serving"
27,Alexander Hoogmartens,Aleksa Pisaric,30-15,2-2,0-0,,Ad,Alexander Hoogmartens,Aleksa Pisaric,"Univeristy of California, Los Angeles",Pepperdine,1034239.0,1060670.0,26431.0,8,5-8,0,1,2nd Serve In,Body,Wide,Body,False,Near,,,113.669695975444,-42.8394794400478,53.2944663166829,244.822665135482,Down the Line,Forehand,Net,,Down the Line,Forehand,Aleksa Pisaric,Error,Alexander Hoogmartens,0.0,False,,,1,0,0,2,2,30,15,,,5,2nd Serve In,Ad: Body,,,,,,,,Down the Line,Forehand,Down the Line,Forehand,Error,2.0,2.0,1.0,1.0,"Set 1: 2-2, 30-15 Alexander Hoogmartens Serving"
28,Alexander Hoogmartens,Aleksa Pisaric,40-15,2-2,0-0,,Deuce,Alexander Hoogmartens,Aleksa Pisaric,"Univeristy of California, Los Angeles",Pepperdine,1087069.0,1107560.0,20491.0,7,5-8,0,1,2nd Serve In,Body,T,Body,False,Near,,,11.1463363954448,306.99964457552,-79.5882163166693,224.322440944766,Down the Line,Forehand,,,Down the Line,Forehand,Alexander Hoogmartens,Winner,Alexander Hoogmartens,0.0,False,Alexander Hoogmartens,,1,0,0,2,2,40,15,,,5,2nd Serve In,Deuce: Body,,,Down the Line,Forehand,Winner,,,Down the Line,Forehand,,,,0.0,0.0,3.0,3.0,"Set 1: 2-2, 40-15 Alexander Hoogmartens Serving"
29,Alexander Hoogmartens,Aleksa Pisaric,0-0,3-2,0-0,,Deuce,Aleksa Pisaric,Alexander Hoogmartens,"Univeristy of California, Los Angeles",Pepperdine,1201969.0,1211469.0,9500.0,8,5-8,1,0,1st Serve In,Wide,Wide,,False,Near,,,-118.771757436509,227.43914041983,,,Down the Line,Forehand,,,Down the Line,Forehand,Alexander Hoogmartens,Winner,Alexander Hoogmartens,,False,,,1,0,0,3,2,0,0,,,6,,,Down the Line,Forehand,Down the Line,Forehand,Winner,1st Serve In,Deuce: Wide,,,,,,1.0,1.0,2.0,3.0,"Set 1: 3-2, 0-0 Aleksa Pisaric Serving"
30,Alexander Hoogmartens,Aleksa Pisaric,0-15,3-2,0-0,,Ad,Aleksa Pisaric,Alexander Hoogmartens,"Univeristy of California, Los Angeles",Pepperdine,1235569.0,1236239.0,670.0,2,1-4,1,0,1st Serve In,Wide,Wide,,False,Near,,,140.854751749709,207.492240813541,,,Down the Line,Backhand,Net,Net,Down the Line,Backhand,Alexander Hoogmartens,Error,Aleksa Pisaric,,False,,,1,0,0,3,2,0,15,,,6,,,Down the Line,Backhand,Down the Line,Backhand,Error,1st Serve In,Ad: Wide,,,,,,0.0,0.0,0.0,0.0,"Set 1: 3-2, 0-15 Aleksa Pisaric Serving"
31,Alexander Hoogmartens,Aleksa Pisaric,15-15,3-2,0-0,,Deuce,Aleksa Pisaric,Alexander Hoogmartens,"Univeristy of California, Los Angeles",Pepperdine,1258469.0,1268099.0,9630.0,2,1-4,0,1,2nd Serve In,T,T,T,False,Near,,,19.2025371828422,-0.0737204724408764,-46.8030839894771,198.728576115383,Down the Line,Forehand,Net,Net,Down the Line,Forehand,Alexander Hoogmartens,Error,Aleksa Pisaric,,False,,,1,0,0,3,2,15,15,,,6,,,Down the Line,Forehand,Down the Line,Forehand,Error,2nd Serve In,Deuce: T,,,,,,0.0,0.0,0.0,0.0,"Set 1: 3-2, 15-15 Aleksa Pisaric Serving"
32,Alexander Hoogmartens,Aleksa Pisaric,30-15,3-2,0-0,,Ad,Aleksa Pisaric,Alexander Hoogmartens,"Univeristy of California, Los Angeles",Pepperdine,1289099.0,1309150.0,20051.0,10,9-12,0,1,2nd Serve In,Wide,Body,Wide,False,Near,,,90.4683398949664,-32.441945538041,110.567465004317,217.705320428584,Down the Line,Backhand,Net,,Crosscourt,Forehand,Alexander Hoogmartens,Winner,Alexander Hoogmartens,,False,Alexander Hoogmartens,,1,0,0,3,2,30,15,,,6,,,Down the Line,Backhand,Crosscourt,Forehand,Winner,2nd Serve In,Ad: Wide,,,,,,1.0,2.0,3.0,3.0,"Set 1: 3-2, 30-15 Aleksa Pisaric Serving"
33,Alexander Hoogmartens,Aleksa Pisaric,30-30,3-2,0-0,,Deuce,Aleksa Pisaric,Alexander Hoogmartens,"Univeristy of California, Los Angeles",Pepperdine,1337199.0,1337869.0,670.0,2,1-4,1,0,1st Serve In,T,T,,False,Near,,,-32.185148731392,244.46041666654,,,Down the Line,Backhand,Net,Net,Down the Line,Backhand,Alexander Hoogmartens,Error,Aleksa Pisaric,,False,,,1,0,0,3,2,30,30,,,6,,,Down the Line,Backhand,Down the Line,Backhand,Error,1st Serve In,Deuce: T,,,,,,0.0,0.0,0.0,0.0,"Set 1: 3-2, 30-30 Aleksa Pisaric Serving"
