pointNumber,player1Name,player2Name,pointScore,gameScore,setScore,tiebreakScore,side,serverName,returnerName,clientTeam,opponentTeam,Position,pointEndPosition,Duration,rallyCount,rallyCountFreq,firstServeIn,secondServeIn,serveResult,serveInPlacement,firstServeZone,secondServeZone,isAce,serverFarNear,serverStartLocation,returnerStartLocation,firstServeXCoord,firstServeYCoord,secondServeXCoord,secondServeYCoord,returnDirection,returnFhBh,errorType,returnError,lastShotDirection,lastShotFhBh,lastShotHitBy,lastShotResult,pointWonBy,isExcitingPoint,isBreakPoint,atNetPlayer1,atNetPlayer2,setNum,player1SetScore,player2SetScore,player1GameScore,player2GameScore,player1PointScore,player2PointScore,player1TiebreakScore,player2TiebreakScore,gameNumber,player1ServeResult,player1ServePlacement,player1ReturnPlacement,player1ReturnFhBh,player1LastShotPlacement,player1LastShotFhBh,player1LastShotResult,player2ServeResult,player2ServePlacement,player2ReturnPlacement,player2ReturnFhBh,player2LastShotPlacement,player2LastShotFhBh,player2LastShotResult,deepCountPlayer1,deepCountPlayer2,shortCountPlayer1,shortCountPlayer2,Name
85,Gianluca Ballota,Max Westphal,0-0,2-3,0-1,,Deuce,Max Westphal,Gianluca Ballota,UCLA,Columbia,3683889.0,3684820.0,931.0,2,1-4,1,0,1st Serve In,Body,Body,,False,Far,,,93.8245734907652,-219.62228237084,,,Down the Line,Backhand,,,Down the Line,Backhand,Gianluca Ballota,Winner,Gianluca Ballota,,False,,,2,0,1,2,3,0,0,,,6,,,Down the Line,Backhand,Down the Line,Backhand,Winner,1st Serve In,Deuce: Body,,,,,,0.0,0.0,1.0,0.0,"Set 2: 2-3, 0-0 Max Westphal Serving"
86,Gianluca Ballota,Max Westphal,0-15,2-3,0-1,,Ad,Max Westphal,Gianluca Ballota,UCLA,Columbia,3708219.0,3709120.0,901.0,2,1-4,1,0,1st Serve In,T,T,,False,Far,,,-13.8571905074294,-233.322922134613,,,Down the Line,Backhand,,,Down the Line,Backhand,Gianluca Ballota,Winner,Gianluca Ballota,,False,,,2,0,1,2,3,0,15,,,6,,,Down the Line,Backhand,Down the Line,Backhand,Winner,1st Serve In,Ad: T,,,,,,1.0,0.0,0.0,0.0,"Set 2: 2-3, 0-15 Max Westphal Serving"
87,Gianluca Ballota,Max Westphal,15-15,2-3,0-1,,Deuce,Max Westphal,Gianluca Ballota,UCLA,Columbia,3731959.0,3735820.0,3861.0,3,1-4,1,0,1st Serve In,T,T,,False,Far,,,23.9378335520436,-199.710941600947,,,Down the Line,Forehand,Wide Left,,Down the Line,Forehand,Max Westphal,Error,Gianluca Ballota,,False,Gianluca Ballota,,2,0,1,2,3,15,15,,,6,,,Down the Line,Forehand,,,,1st Serve In,Deuce: T,,,Down the Line,Forehand,Error,0.0,0.0,1.0,0.0,"Set 2: 2-3, 15-15 Max Westphal Serving"
88,Gianluca Ballota,Max Westphal,15-30,2-3,0-1,,Ad,Max Westphal,Gianluca Ballota,UCLA,Columbia,3762820.0,3763639.0,819.0,2,1-4,1,0,1st Serve In,T,T,,False,Far,,,-36.1621117672604,-238.074562554558,,,Crosscourt,Backhand,Net,Net,Crosscourt,Backhand,Gianluca Ballota,Error,Max Westphal,,False,,,2,0,1,2,3,15,30,,,6,,,Crosscourt,Backhand,Crosscourt,Backhand,Error,1st Serve In,Ad: T,,,,,,0.0,0.0,0.0,0.0,"Set 2: 2-3, 15-30 Max Westphal Serving"
89,Gianluca Ballota,Max Westphal,30-30,2-3,0-1,,Deuce,Max Westphal,Gianluca Ballota,UCLA,Columbia,3784020.0,3787909.0,3889.0,4,1-4,1,0,1st Serve In,Body,Body,,False,Far,,,101.448556430394,-141.390277777705,,,Down the Line,Backhand,,,Down the Line,Forehand,Gianluca Ballota,Winner,Gianluca Ballota,,False,,,2,0,1,2,3,30,30,,,6,,,Down the Line,Backhand,Down the Line,Forehand,Winner,1st Serve In,Deuce: Body,,,,,,0.0,1.0,2.0,0.0,"Set 2: 2-3, 30-30 Max Westphal Serving"
90,Gianluca Ballota,Max Westphal,30-40,2-3,0-1,,Ad,Max Westphal,Gianluca Ballota,UCLA,Columbia,3815590.0,3820219.0,4629.0,6,5-8,1,0,1st Serve In,Wide,Wide,,False,Far,,,-135.987325021802,-228.1067202536,,,Crosscourt,Forehand,,,Crosscourt,,Gianluca Ballota,Winner,Gianluca Ballota,,True,,,2,0,1,2,3,30,40,,,6,,,Crosscourt,Forehand,Crosscourt,,Winner,1st Serve In,Ad: Wide,,,,,,0.0,0.0,2.0,1.0,"Set 2: 2-3, 30-40 Max Westphal Serving"
91,Gianluca Ballota,Max Westphal,40-40,2-3,0-1,,Ad,Max Westphal,Gianluca Ballota,UCLA,Columbia,3850919.0,3851719.0,800.0,2,1-4,0,0,Double Fault,,Body,,False,Far,,,-72.6232392825522,-253.678001968373,,,Down the Line,Forehand,Net,Net,Down the Line,Forehand,Gianluca Ballota,Error,Max Westphal,,True,,,2,0,1,2,3,40,40,,,6,,,Down the Line,Forehand,Down the Line,Forehand,Error,Double Fault,,,,,,,0.0,0.0,0.0,0.0,"Set 2: 2-3, 40-40 Max Westphal Serving"
92,Gianluca Ballota,Max Westphal,0-0,2-4,0-1,,Deuce,Gianluca Ballota,Max Westphal,UCLA,Columbia,3886699.0,3895699.0,9000.0,1,1-4,0,0,Double Fault,Body,Body,Body,False,Near,,,-102.385717410271,315.310345581639,-73.5129374452814,260.3739337269,,,,,,,Gianluca Ballota,,Max Westphal,,False,,,2,0,1,2,4,0,0,,,7,Double Fault,Deuce: Body,,,,,,,,,,,,,0.0,0.0,0.0,0.0,"Set 2: 2-4, 0-0 Gianluca Ballota Serving"
93,Gianluca Ballota,Max Westphal,0-15,2-4,0-1,,Ad,Gianluca Ballota,Max Westphal,UCLA,Columbia,3921739.0,3947050.0,25311.0,10,9-12,0,1,2nd Serve In,Wide,Body,Wide,False,Near,,,74.8261646981241,292.638467847618,133.181966316642,202.398561898408,Crosscourt,Backhand,,,Down the Line,Backhand,Max Westphal,Winner,Max Westphal,,False,,,2,0,1,2,4,0,15,,,7,2nd Serve In,Ad: Wide,,,,,,,,Crosscourt,Backhand,Down the Line,Backhand,Winner,1.0,2.0,3.0,3.0,"Set 2: 2-4, 0-15 Gianluca Ballota Serving"
94,Gianluca Ballota,Max Westphal,0-30,2-4,0-1,,Deuce,Gianluca Ballota,Max Westphal,UCLA,Columbia,3978840.0,3979790.0,950.0,2,1-4,1,0,1st Serve In,Wide,Wide,,False,Near,,,-132.951503718217,211.937171915901,,,Crosscourt,Forehand,Long,Long,Crosscourt,Forehand,Max Westphal,Error,Gianluca Ballota,,False,,,2,0,1,2,4,0,30,,,7,1st Serve In,Deuce: Wide,,,,,,,,Crosscourt,Forehand,Crosscourt,Forehand,Error,0.0,0.0,0.0,0.0,"Set 2: 2-4, 0-30 Gianluca Ballota Serving"
95,Gianluca Ballota,Max Westphal,15-30,2-4,0-1,,Ad,Gianluca Ballota,Max Westphal,UCLA,Columbia,4000270.0,4008520.0,8250.0,7,5-8,1,0,1st Serve In,Wide,Wide,,False,Near,,,122.03635717404,215.088052274605,,,Down the Line,Backhand,Net,,Down the Line,Forehand,Gianluca Ballota,Error,Max Westphal,,False,,,2,0,1,2,4,15,30,,,7,1st Serve In,Ad: Wide,,,Down the Line,Forehand,Error,,,Down the Line,Backhand,,,,1.0,1.0,1.0,2.0,"Set 2: 2-4, 15-30 Gianluca Ballota Serving"
96,Gianluca Ballota,Max Westphal,15-40,2-4,0-1,,Deuce,Gianluca Ballota,Max Westphal,UCLA,Columbia,4036399.0,4049820.0,13421.0,10,9-12,1,0,1st Serve In,T,T,,False,Near,,,-36.4528215222909,229.702427821404,,,Crosscourt,Backhand,Net,,Down the Line,Forehand,Max Westphal,Error,Gianluca Ballota,,True,,,2,0,1,2,4,15,40,,,7,1st Serve In,Deuce: T,,,,,,,,Crosscourt,Backhand,Down the Line,Forehand,Error,2.0,2.0,1.0,2.0,"Set 2: 2-4, 15-40 Gianluca Ballota Serving"
97,Gianluca Ballota,Max Westphal,30-40,2-4,0-1,,Ad,Gianluca Ballota,Max Westphal,UCLA,Columbia,4054800.0,4090939.0,36139.0,3,1-4,0,1,2nd Serve In,T,Wide,T,False,Near,,,159.12586942249,292.209197287688,7.69858377077468,172.946314523095,Crosscourt,Forehand,Long,,Down the Line,Forehand,Gianluca Ballota,Error,Max Westphal,,True,,,2,0,1,2,4,30,40,,,7,2nd Serve In,Ad: T,,,Down the Line,Forehand,Error,,,Crosscourt,Forehand,,,,0.0,0.0,0.0,1.0,"Set 2: 2-4, 30-40 Gianluca Ballota Serving"
98,Gianluca Ballota,Max Westphal,0-0,2-5,0-1,,Deuce,Max Westphal,Gianluca Ballota,UCLA,Columbia,4173169.0,4185520.0,12351.0,2,1-4,0,1,2nd Serve In,Wide,T,Wide,False,Near,,,-42.1258530183509,282.123846237825,-121.752384076927,214.184306649058,Crosscourt,Forehand,Net,Net,Crosscourt,Forehand,Gianluca Ballota,Error,Max Westphal,,False,,,2,0,1,2,5,0,0,,,8,,,Crosscourt,Forehand,Crosscourt,Forehand,Error,2nd Serve In,Deuce: Wide,,,,,,0.0,0.0,0.0,0.0,"Set 2: 2-5, 0-0 Max Westphal Serving"
99,Gianluca Ballota,Max Westphal,15-0,2-5,0-1,,Ad,Max Westphal,Gianluca Ballota,UCLA,Columbia,4218919.0,4223919.0,5000.0,5,5-8,1,0,1st Serve In,T,T,,False,Near,,,39.7620516185271,182.261811023528,,,Down the Line,Backhand,,,Crosscourt,Backhand,Max Westphal,Winner,Max Westphal,,False,,Max Westphal,2,0,1,2,5,15,0,,,8,,,Down the Line,Backhand,,,,1st Serve In,Ad: T,,,Crosscourt,Backhand,Winner,0.0,0.0,2.0,2.0,"Set 2: 2-5, 15-0 Max Westphal Serving"
100,Gianluca Ballota,Max Westphal,30-0,2-5,0-1,,Deuce,Max Westphal,Gianluca Ballota,UCLA,Columbia,4244930.0,4246149.0,1219.0,2,1-4,1,0,1st Serve In,Wide,Wide,,False,Near,,,-153.412264873062,229.785372922016,,,Down the Line,Backhand,Net,Net,Down the Line,Backhand,Gianluca Ballota,Error,Max Westphal,,False,,,2,0,1,2,5,30,0,,,8,,,Down the Line,Backhand,Down the Line,Backhand,Error,1st Serve In,Deuce: Wide,,,,,,0.0,0.0,0.0,0.0,"Set 2: 2-5, 30-0 Max Westphal Serving"
101,Gianluca Ballota,Max Westphal,40-0,2-5,0-1,,Ad,Max Westphal,Gianluca Ballota,UCLA,Columbia,4265000.0,4268470.0,3470.0,3,1-4,1,0,1st Serve In,,T,,False,Near,,,7.981829615044,203.79963363944,,,Crosscourt,Backhand,,,Down the Line,Forehand,Max Westphal,Winner,Max Westphal,,False,,,2,0,1,2,5,40,0,,,8,,,Crosscourt,Backhand,,,,1st Serve In,,,,Down the Line,Forehand,Winner,0.0,1.0,1.0,0.0,"Set 2: 2-5, 40-0 Max Westphal Serving"
