Name,pointNumber,setNum,gameNumber,player1Name,player2Name,pointScore,gameScore,setScore,tiebreakScore,side,serverName,returnerName,Position,pointEndPosition,Duration,pointWonBy,rallyCount,rallyCountFreq,firstServeIn,secondServeIn,serveResult,serveInPlacement,firstServeZone,secondServeZone,isAce,serverFarNear,firstServeXCoord,firstServeYCoord,secondServeXCoord,secondServeYCoord,returnDirection,returnFhBh,errorType,returnError,lastShotDirection,lastShotFhBh,lastShotHitBy,lastShotResult,isBreakPoint,atNetPlayer1,atNetPlayer2,isExcitingPoint,player1SetScore,player2SetScore,player1GameScore,player2GameScore,player1PointScore,player2PointScore,player1TiebreakScore,player2TiebreakScore,player1ServeResult,player1ServePlacement,player1ReturnPlacement,player1ReturnFhBh,player1LastShotPlacement,player1LastShotFhBh,player1LastShotResult,player2ServeResult,player2ServePlacement,player2ReturnPlacement,player2ReturnFhBh,player2LastShotPlacement,player2LastShotFhBh,player2LastShotResult,clientTeam,opponentTeam
"Set 2: 1-0, 0-0 Jo-Yee Chan Serving",54,2,2,Elise Wagle,Jo-Yee Chan,0-0,1-0,1-0,,Deuce,Jo-Yee Chan,Elise Wagle,2770441.0,,,Jo-Yee Chan,3,1 - 4,1,0,1st Serve In,T,T,,False,Far,45.0,-212.0,,,Crosscourt,Backhand,,,Crosscourt,Forehand,Jo-Yee Chan,Winner,False,,,,1,0,1,0,0,0,,,,,Crosscourt,Backhand,,,,1st Serve In,Deuce: T,,,Crosscourt,Forehand,Winner,UCLA,Oregon
"Set 2: 1-0, 0-15 Jo-Yee Chan Serving",55,2,2,Elise Wagle,Jo-Yee Chan,0-15,1-0,1-0,,Ad,Jo-Yee Chan,Elise Wagle,2792927.0,,,Jo-Yee Chan,7,5 - 8,1,0,1st Serve In,T,T,,False,Far,-5.0,-180.0,,,Down the Line,Forehand,,,Down the Line,Backhand,Jo-Yee Chan,Winner,False,,,,1,0,1,0,0,15,,,,,Down the Line,Forehand,,,,1st Serve In,Ad: T,,,Down the Line,Backhand,Winner,UCLA,Oregon
"Set 2: 1-0, 0-30 Jo-Yee Chan Serving",56,2,2,Elise Wagle,Jo-Yee Chan,0-30,1-0,1-0,,Deuce,Jo-Yee Chan,Elise Wagle,2827397.0,,,Elise Wagle,10,9 - 12,1,0,1st Serve In,Body,Body,,False,Far,98.0,-204.0,,,Down the Line,Forehand,,,Crosscourt,Forehand,Elise Wagle,Winner,False,,,,1,0,1,0,0,30,,,,,Down the Line,Forehand,Crosscourt,Forehand,Winner,1st Serve In,Deuce: Body,,,,,,UCLA,Oregon
"Set 2: 1-0, 15-30 Jo-Yee Chan Serving",57,2,2,Elise Wagle,Jo-Yee Chan,15-30,1-0,1-0,,Ad,Jo-Yee Chan,Elise Wagle,2862011.0,,,Elise Wagle,1,1 - 4,0,0,Double Fault,T,Wide,T,False,Far,-117.0,1.0,-24.0,-262.0,,,,,,,Jo-Yee Chan,,False,,,,1,0,1,0,15,30,,,,,,,,,,Double Fault,Ad: T,,,,,,UCLA,Oregon
"Set 2: 1-0, 30-30 Jo-Yee Chan Serving",58,2,2,Elise Wagle,Jo-Yee Chan,30-30,1-0,1-0,,Deuce,Jo-Yee Chan,Elise Wagle,2872277.0,,,Jo-Yee Chan,8,5 - 8,0,1,2nd Serve In,Body,Wide,Body,False,Far,122.0,-279.0,80.0,-214.0,Down the Line,Forehand,Wide Right,,Crosscourt,Backhand,Elise Wagle,Error,False,,,,1,0,1,0,30,30,,,,,Down the Line,Forehand,Crosscourt,Backhand,Error,2nd Serve In,Deuce: Body,,,,,,UCLA,Oregon
"Set 2: 1-0, 30-40 Jo-Yee Chan Serving",59,2,2,Elise Wagle,Jo-Yee Chan,30-40,1-0,1-0,,Ad,Jo-Yee Chan,Elise Wagle,2945559.0,,,Elise Wagle,1,1 - 4,0,0,Double Fault,Body,Body,Body,False,Far,-104.0,-276.0,-67.0,2.0,,,,,,,Jo-Yee Chan,,True,,,,1,0,1,0,30,40,,,,,,,,,,Double Fault,Ad: Body,,,,,,UCLA,Oregon
"Set 2: 1-0, 40-40 Jo-Yee Chan Serving",60,2,2,Elise Wagle,Jo-Yee Chan,40-40,1-0,1-0,,Ad,Jo-Yee Chan,Elise Wagle,2997606.0,,,Elise Wagle,5,5 - 8,0,1,2nd Serve In,Body,Body,Body,False,,-64.0,4.0,-69.0,-230.0,Down the Line,Forehand,Wide Right,,Crosscourt,Forehand,Jo-Yee Chan,Error,True,,,,1,0,1,0,40,40,,,,,Down the Line,Forehand,,,,2nd Serve In,Ad: Body,,,Crosscourt,Forehand,Error,UCLA,Oregon
"Set 2: 2-0, 15-0 Elise Wagle Serving",61,2,3,Elise Wagle,Jo-Yee Chan,15-0,2-0,1-0,,Ad,Elise Wagle,Jo-Yee Chan,3077393.0,,,Elise Wagle,2,1 - 4,1,0,1st Serve In,T,T,,False,Near,45.0,155.0,,,Crosscourt,Forehand,Net,Net,Crosscourt,Forehand,Jo-Yee Chan,Error,False,,,,1,0,2,0,15,0,,,1st Serve In,Ad: T,,,,,,,,Crosscourt,Forehand,Crosscourt,Forehand,Error,UCLA,Oregon
"Set 2: 2-0, 30-0 Elise Wagle Serving",62,2,3,Elise Wagle,Jo-Yee Chan,30-0,2-0,1-0,,Deuce,Elise Wagle,Jo-Yee Chan,3112803.0,,,Elise Wagle,2,1 - 4,1,0,1st Serve In,Body,Body,,False,Near,-61.0,131.0,,,Down the Line,Backhand,Net,Net,Down the Line,Backhand,Jo-Yee Chan,Error,False,,,,1,0,2,0,30,0,,,1st Serve In,Deuce: Body,,,,,,,,Down the Line,Backhand,Down the Line,Backhand,Error,UCLA,Oregon
"Set 2: 2-0, 40-0 Elise Wagle Serving",63,2,3,Elise Wagle,Jo-Yee Chan,40-0,2-0,1-0,,Ad,Elise Wagle,Jo-Yee Chan,3142136.0,,,Elise Wagle,4,1 - 4,0,1,2nd Serve In,Body,Body,Body,False,Near,82.0,254.0,80.0,162.0,Crosscourt,Forehand,Long,,Crosscourt,Forehand,Jo-Yee Chan,Error,False,,,,1,0,2,0,40,0,,,2nd Serve In,Ad: Body,,,,,,,,Crosscourt,Forehand,Crosscourt,Forehand,Error,UCLA,Oregon
