pointNumber,player1Name,player2Name,pointScore,gameScore,setScore,tiebreakScore,side,serverName,returnerName,clientTeam,opponentTeam,Position,pointEndPosition,Duration,rallyCount,rallyCountFreq,firstServeIn,secondServeIn,serveResult,serveInPlacement,firstServeZone,secondServeZone,isAce,serverFarNear,serverStartLocation,returnerStartLocation,firstServeXCoord,firstServeYCoord,secondServeXCoord,secondServeYCoord,returnDirection,returnFhBh,errorType,returnError,lastShotDirection,lastShotFhBh,lastShotHitBy,lastShotResult,pointWonBy,isExcitingPoint,isBreakPoint,atNetPlayer1,atNetPlayer2,setNum,player1SetScore,player2SetScore,player1GameScore,player2GameScore,player1PointScore,player2PointScore,player1TiebreakScore,player2TiebreakScore,gameNumber,player1ServeResult,player1ServePlacement,player1ReturnPlacement,player1ReturnFhBh,player1LastShotPlacement,player1LastShotFhBh,player1LastShotResult,player2ServeResult,player2ServePlacement,player2ReturnPlacement,player2ReturnFhBh,player2LastShotPlacement,player2LastShotFhBh,player2LastShotResult,deepCountPlayer1,deepCountPlayer2,shortCountPlayer1,shortCountPlayer2,Name
63,Emon van Loben Sels,Hugo Hashimoto,40-15,0-2,0-1,,Deuce,Emon van Loben Sels,Hugo Hashimoto,UCLA,Columbia,2881850,2893929,12079,4,4-Jan,0,1,2nd Serve In,T,T,T,FALSE,Far,,,26.97216207,-245.2852745,42.6268154,-202.8561953,Crosscourt,Forehand,,,Down the Line,Forehand,Hugo Hashimoto,Winner,Hugo Hashimoto,,FALSE,,,2,0,1,0,2,40,15,,,3,2nd Serve In,Deuce: T,,,,,,,,Crosscourt,Forehand,Down the Line,Forehand,Winner,1,1,0,1,"Set 2: 0-2, 40-15 Emon van Loben Sels Serving"
64,Emon van Loben Sels,Hugo Hashimoto,40-30,0-2,0-1,,Ad,Emon van Loben Sels,Hugo Hashimoto,UCLA,Columbia,2912649,2996479,83830,5,8-May,1,1,1st Serve In,T,T,Wide,FALSE,Far,,,-8.787510936,-211.8494423,-136.601203,-148.9170002,Crosscourt,Forehand,Net,,Crosscourt,Backhand,Emon van Loben Sels,Error,Hugo Hashimoto,,FALSE,,,2,0,1,0,2,40,30,,,3,1st Serve In,Ad: T,,,Crosscourt,Backhand,Error,,,Crosscourt,Forehand,,,,0,2,1,0,"Set 2: 0-2, 40-30 Emon van Loben Sels Serving"
65,Emon van Loben Sels,Hugo Hashimoto,0-0,1-Feb,0-1,,Deuce,Hugo Hashimoto,Emon van Loben Sels,UCLA,Columbia,3093780,3099280,5500,6,8-May,1,0,1st Serve In,Wide,Wide,,FALSE,Far,,,155.8352034,-202.1726925,,,Down the Line,Forehand,Wide Left,,Crosscourt,,Emon van Loben Sels,Error,Hugo Hashimoto,,FALSE,Emon van Loben Sels,,2,0,1,2,1,0,0,,,4,,,Down the Line,Forehand,Crosscourt,,Error,1st Serve In,Deuce: Wide,,,,,,1,0,0,2,"Set 2: 2-1, 0-0 Hugo Hashimoto Serving"
66,Emon van Loben Sels,Hugo Hashimoto,15-0,1-Feb,0-1,,Ad,Hugo Hashimoto,Emon van Loben Sels,UCLA,Columbia,3147250,3152659,5409,6,8-May,1,0,1st Serve In,T,T,,FALSE,Far,,,-44.22351815,-218.4421424,,,Down the Line,Forehand,,,Down the Line,Forehand,Emon van Loben Sels,Winner,Emon van Loben Sels,,FALSE,,,2,0,1,2,1,15,0,,,4,,,Down the Line,Forehand,Down the Line,Forehand,Winner,1st Serve In,Ad: T,,,,,,2,0,1,2,"Set 2: 2-1, 15-0 Hugo Hashimoto Serving"
67,Emon van Loben Sels,Hugo Hashimoto,15-15,1-Feb,0-1,,Deuce,Hugo Hashimoto,Emon van Loben Sels,UCLA,Columbia,3187379,3217679,30300,12,12-Sep,0,1,2nd Serve In,T,T,T,FALSE,Far,,,36.59080818,220.0286253,50.71968504,-128.969603,Crosscourt,Backhand,Net,,Down the Line,,Emon van Loben Sels,Winner,Emon van Loben Sels,,FALSE,Emon van Loben Sels,,2,0,1,2,1,15,15,,,4,,,Crosscourt,Backhand,Down the Line,,Winner,2nd Serve In,Deuce: T,,,,,,3,1,1,2,"Set 2: 2-1, 15-15 Hugo Hashimoto Serving"
68,Emon van Loben Sels,Hugo Hashimoto,30-15,1-Feb,0-1,,Ad,Hugo Hashimoto,Emon van Loben Sels,UCLA,Columbia,3252340,3253090,750,2,4-Jan,1,0,1st Serve In,Wide,Wide,,FALSE,Far,,,-128.128248,-213.7543854,,,Crosscourt,Backhand,Wide Right,Wide Right,Crosscourt,Backhand,Emon van Loben Sels,Error,Hugo Hashimoto,,FALSE,,,2,0,1,2,1,30,15,,,4,,,Crosscourt,Backhand,Crosscourt,Backhand,Error,1st Serve In,Ad: Wide,,,,,,0,0,0,0,"Set 2: 2-1, 30-15 Hugo Hashimoto Serving"
69,Emon van Loben Sels,Hugo Hashimoto,40-15,1-Feb,0-1,,Deuce,Hugo Hashimoto,Emon van Loben Sels,UCLA,Columbia,3271709,3293159,21450,8,8-May,0,1,2nd Serve In,Body,T,Body,FALSE,Far,,,-6.11049322,74.55505249,52.73455818,-133.6502789,Crosscourt,Backhand,Net,,Down the Line,Forehand,Emon van Loben Sels,Error,Hugo Hashimoto,,FALSE,,,2,0,1,2,1,40,15,,,4,,,Crosscourt,Backhand,Down the Line,Forehand,Error,2nd Serve In,Deuce: Body,,,,,,3,1,0,2,"Set 2: 2-1, 40-15 Hugo Hashimoto Serving"
70,Emon van Loben Sels,Hugo Hashimoto,0-0,1-Mar,0-1,,Deuce,Emon van Loben Sels,Hugo Hashimoto,UCLA,Columbia,3325429,3334760,9331,1,4-Jan,0,0,Double Fault,T,T,T,FALSE,Near,,,-24.10265201,245.6595418,-14.18797572,-18.0524825,,,Net,,,,Emon van Loben Sels,,Hugo Hashimoto,,FALSE,,,2,0,1,3,1,0,0,,,5,Double Fault,Deuce: T,,,,,,,,,,,,,0,0,0,0,"Set 2: 3-1, 0-0 Emon van Loben Sels Serving"
71,Emon van Loben Sels,Hugo Hashimoto,0-15,1-Mar,0-1,,Ad,Emon van Loben Sels,Hugo Hashimoto,UCLA,Columbia,3356939,3370090,13151,10,12-Sep,1,0,1st Serve In,Wide,Wide,,FALSE,Near,,,111.6168526,231.3545549,,,Crosscourt,Forehand,Wide Left,,Down the Line,Forehand,Hugo Hashimoto,Error,Emon van Loben Sels,,FALSE,,,2,0,1,3,1,0,15,,,5,1st Serve In,Ad: Wide,,,,,,,,Crosscourt,Forehand,Down the Line,Forehand,Error,1,0,3,4,"Set 2: 3-1, 0-15 Emon van Loben Sels Serving"
72,Emon van Loben Sels,Hugo Hashimoto,15-15,1-Mar,0-1,,Deuce,Emon van Loben Sels,Hugo Hashimoto,UCLA,Columbia,3394439,3398489,4050,5,8-May,1,0,1st Serve In,Body,Body,,FALSE,Near,,,-64.18722113,244.953341,,,Crosscourt,Backhand,,,Down the Line,,Emon van Loben Sels,Winner,Emon van Loben Sels,,FALSE,Emon van Loben Sels,,2,0,1,3,1,15,15,,,5,1st Serve In,Deuce: Body,,,Down the Line,,Winner,,,Crosscourt,Backhand,,,,2,0,0,2,"Set 2: 3-1, 15-15 Emon van Loben Sels Serving"
