pointNumber,player1Name,player2Name,pointScore,gameScore,setScore,tiebreakScore,side,serverName,returnerName,clientTeam,opponentTeam,Position,pointEndPosition,Duration,rallyCount,rallyCountFreq,firstServeIn,secondServeIn,serveResult,serveInPlacement,firstServeZone,secondServeZone,isAce,serverFarNear,serverStartLocation,returnerStartLocation,firstServeXCoord,firstServeYCoord,secondServeXCoord,secondServeYCoord,returnDirection,returnFhBh,errorType,returnError,lastShotDirection,lastShotFhBh,lastShotHitBy,lastShotResult,pointWonBy,isExcitingPoint,isBreakPoint,atNetPlayer1,atNetPlayer2,setNum,player1SetScore,player2SetScore,player1GameScore,player2GameScore,player1PointScore,player2PointScore,player1TiebreakScore,player2TiebreakScore,gameNumber,player1ServeResult,player1ServePlacement,player1ReturnPlacement,player1ReturnFhBh,player1LastShotPlacement,player1LastShotFhBh,player1LastShotResult,player2ServeResult,player2ServePlacement,player2ReturnPlacement,player2ReturnFhBh,player2LastShotPlacement,player2LastShotFhBh,player2LastShotResult,deepCountPlayer1,deepCountPlayer2,shortCountPlayer1,shortCountPlayer2,Name
80,Gianluca Ballotta,Bernardo Munk Mesa,0-40,0-1,0-1,,Ad,Gianluca Ballotta,Bernardo Munk Mesa,UCLA,Cal,3804949.0,3811300.0,6351.0,6,5-8,1,0,1st Serve In,Body,Body,,False,Near,,,75.7149825,178.349229,,,Down the Line,Backhand,,,Crosscourt,Forehand,Bernardo Munk Mesa,Winner,Bernardo Munk Mesa,,True,,Bernardo Munk Mesa,2,0,1,0,1,0,40,,,2,1st Serve In,Ad: Body,,,,,,,,Down the Line,Backhand,Crosscourt,Forehand,Winner,0.0,0.0,3.0,2.0,"Set 2: 0-1, 0-40 Gianluca Ballotta Serving"
81,Gianluca Ballotta,Bernardo Munk Mesa,0-0,1-1,0-1,,Deuce,Bernardo Munk Mesa,Gianluca Ballotta,UCLA,Cal,3854360.0,3857800.0,3440.0,4,1-4,1,0,1st Serve In,T,T,,False,Far,,,25.80672025,-188.9462981,,,Crosscourt,Forehand,Net,,Down the Line,Forehand,Gianluca Ballotta,Error,Bernardo Munk Mesa,,False,,,2,0,1,1,1,0,0,,,3,,,Crosscourt,Forehand,Down the Line,Forehand,Error,1st Serve In,Deuce: T,,,,,,1.0,0.0,0.0,1.0,"Set 2: 1-1, 0-0 Bernardo Munk Mesa Serving"
82,Gianluca Ballotta,Bernardo Munk Mesa,15-0,1-1,0-1,,Ad,Bernardo Munk Mesa,Gianluca Ballotta,UCLA,Cal,3884399.0,3900360.0,15961.0,3,1-4,0,1,2nd Serve In,Wide,Body,Wide,False,Far,,,-55.24668088,27.34325241,-115.8246993,-154.6267771,Crosscourt,Forehand,Net,,Down the Line,Forehand,Bernardo Munk Mesa,Error,Gianluca Ballotta,,False,,,2,0,1,1,1,15,0,,,3,,,Crosscourt,Forehand,,,,2nd Serve In,Ad: Wide,,,Down the Line,Forehand,Error,0.0,0.0,0.0,1.0,"Set 2: 1-1, 15-0 Bernardo Munk Mesa Serving"
83,Gianluca Ballotta,Bernardo Munk Mesa,15-15,1-1,0-1,,Deuce,Bernardo Munk Mesa,Gianluca Ballotta,UCLA,Cal,3928760.0,3947110.0,18350.0,6,5-8,0,1,2nd Serve In,Wide,T,Wide,False,Far,,,29.17458989,19.86739939,131.7745407,-160.070035,Down the Line,Backhand,Net,,Crosscourt,Forehand,Gianluca Ballotta,Error,Bernardo Munk Mesa,,False,,,2,0,1,1,1,15,15,,,3,,,Down the Line,Backhand,Crosscourt,Forehand,Error,2nd Serve In,Deuce: Wide,,,,,,1.0,2.0,1.0,0.0,"Set 2: 1-1, 15-15 Bernardo Munk Mesa Serving"
84,Gianluca Ballotta,Bernardo Munk Mesa,30-15,1-1,0-1,,Ad,Bernardo Munk Mesa,Gianluca Ballotta,UCLA,Cal,3969560.0,3973199.0,3639.0,4,1-4,1,0,1st Serve In,Body,Body,,False,Far,,,-67.82719816,-181.1374399,,,Down the Line,Backhand,Net,,Down the Line,Forehand,Gianluca Ballotta,Error,Bernardo Munk Mesa,,False,,,2,0,1,1,1,30,15,,,3,,,Down the Line,Backhand,Down the Line,Forehand,Error,1st Serve In,Ad: Body,,,,,,1.0,0.0,0.0,1.0,"Set 2: 1-1, 30-15 Bernardo Munk Mesa Serving"
85,Gianluca Ballotta,Bernardo Munk Mesa,40-15,1-1,0-1,,Deuce,Bernardo Munk Mesa,Gianluca Ballotta,UCLA,Cal,3991060.0,4000679.0,9619.0,8,5-8,1,0,1st Serve In,Body,Body,,False,Far,,,96.66028543,-192.6242837,,,Down the Line,Backhand,Net,,Crosscourt,Forehand,Gianluca Ballotta,Error,Bernardo Munk Mesa,,False,,Bernardo Munk Mesa,2,0,1,1,1,40,15,,,3,,,Down the Line,Backhand,Crosscourt,Forehand,Error,1st Serve In,Deuce: Body,,,,,,0.0,1.0,3.0,2.0,"Set 2: 1-1, 40-15 Bernardo Munk Mesa Serving"
86,Gianluca Ballotta,Bernardo Munk Mesa,0-0,2-1,0-1,,Deuce,Gianluca Ballotta,Bernardo Munk Mesa,UCLA,Cal,4112959.0,4125839.0,12880.0,2,1-4,0,1,2nd Serve In,T,T,T,False,Far,,,-20.40028434,202.6931376,14.71159777,-193.6471074,Down the Line,Backhand,Net,Net,Down the Line,Backhand,Bernardo Munk Mesa,Error,Gianluca Ballotta,,False,,,2,0,1,2,1,0,0,,,4,2nd Serve In,Deuce: T,,,,,,,,Down the Line,Backhand,Down the Line,Backhand,Error,0.0,0.0,0.0,0.0,"Set 2: 2-1, 0-0 Gianluca Ballotta Serving"
87,Gianluca Ballotta,Bernardo Munk Mesa,15-0,2-1,0-1,,Ad,Gianluca Ballotta,Bernardo Munk Mesa,UCLA,Cal,4147330.0,4151589.0,4259.0,4,1-4,1,0,1st Serve In,Wide,Wide,,False,Far,,,-152.564977,-177.4341535,,,Down the Line,Backhand,,,Down the Line,Forehand,Bernardo Munk Mesa,Winner,Bernardo Munk Mesa,,False,,,2,0,1,2,1,15,0,,,4,1st Serve In,Ad: Wide,,,,,,,,Down the Line,Backhand,Down the Line,Forehand,Winner,0.0,0.0,2.0,1.0,"Set 2: 2-1, 15-0 Gianluca Ballotta Serving"
88,Gianluca Ballotta,Bernardo Munk Mesa,30-0,2-1,0-1,,Deuce,Gianluca Ballotta,Bernardo Munk Mesa,UCLA,Cal,4177990.0,4180629.0,2639.0,3,1-4,1,0,1st Serve In,T,T,,False,Far,,,23.48976925,-161.1889326,,,Crosscourt,Backhand,Wide Left,,Crosscourt,Forehand,Gianluca Ballotta,Error,Bernardo Munk Mesa,,False,,,2,0,1,2,1,30,0,,,4,1st Serve In,Deuce: T,,,Crosscourt,Forehand,Error,,,Crosscourt,Backhand,,,,0.0,0.0,1.0,0.0,"Set 2: 2-1, 30-0 Gianluca Ballotta Serving"
89,Gianluca Ballotta,Bernardo Munk Mesa,30-15,2-1,0-1,,Ad,Gianluca Ballotta,Bernardo Munk Mesa,UCLA,Cal,4199390.0,4212390.0,13000.0,2,1-4,0,1,2nd Serve In,Wide,T,Wide,False,Far,,,-33.21409668,-245.3226323,-109.7744149,-194.9064414,Crosscourt,Forehand,Wide Right,Wide Right,Crosscourt,Forehand,Bernardo Munk Mesa,Error,Gianluca Ballotta,,False,,,2,0,1,2,1,30,15,,,4,2nd Serve In,Ad: Wide,,,,,,,,Crosscourt,Forehand,Crosscourt,Forehand,Error,0.0,0.0,0.0,0.0,"Set 2: 2-1, 30-15 Gianluca Ballotta Serving"
