pointNumber,player1Name,player2Name,pointScore,gameScore,setScore,tiebreakScore,side,serverName,returnerName,clientTeam,opponentTeam,Position,pointEndPosition,Duration,rallyCount,rallyCountFreq,firstServeIn,secondServeIn,serveResult,serveInPlacement,firstServeZone,secondServeZone,isAce,serverFarNear,serverStartLocation,returnerStartLocation,firstServeXCoord,firstServeYCoord,secondServeXCoord,secondServeYCoord,returnDirection,returnFhBh,errorType,returnError,lastShotDirection,lastShotFhBh,lastShotHitBy,lastShotResult,pointWonBy,isExcitingPoint,isBreakPoint,atNetPlayer1,atNetPlayer2,setNum,player1SetScore,player2SetScore,player1GameScore,player2GameScore,player1PointScore,player2PointScore,player1TiebreakScore,player2TiebreakScore,gameNumber,player1ServeResult,player1ServePlacement,player1ReturnPlacement,player1ReturnFhBh,player1LastShotPlacement,player1LastShotFhBh,player1LastShotResult,player2ServeResult,player2ServePlacement,player2ReturnPlacement,player2ReturnFhBh,player2LastShotPlacement,player2LastShotFhBh,player2LastShotResult,deepCountPlayer1,deepCountPlayer2,shortCountPlayer1,shortCountPlayer2,Name
44,Giacomo Revelli,Henry Von Der Schulenberg,15-30,2-5,0-0,,Ad,Henry Von Der Schulenberg,Giacomo Revelli,UCLA,Harvard,1900180.0,1940280.0,40100.0,19,13+,0,1,2nd Serve In,Body,Wide,Body,False,Near,,,109.4182524,-58.74139873,80.86385608,209.259848,Down the Line,Backhand,Net,,Crosscourt,Forehand,Henry Von Der Schulenberg,Winner,Henry Von Der Schulenberg,,False,,,1,0,0,2,5,15,30,,,8,,,Down the Line,Backhand,,,,2nd Serve In,Ad: Body,,,Crosscourt,Forehand,Winner,3.0,4.0,6.0,5.0,"Set 1: 2-5, 15-30 Henry Von Der Schulenberg Serving"
45,Giacomo Revelli,Henry Von Der Schulenberg,15-40,2-5,0-0,,Deuce,Henry Von Der Schulenberg,Giacomo Revelli,UCLA,Harvard,1972459.0,1979160.0,6701.0,2,1-4,0,1,2nd Serve In,Wide,T,Wide,False,Near,,,17.90695538,-138.6487642,-157.2511647,244.3404582,Down the Line,Forehand,Net,Net,Down the Line,Forehand,Giacomo Revelli,Error,Henry Von Der Schulenberg,,True,,,1,0,0,2,5,15,40,,,8,,,Down the Line,Forehand,Down the Line,Forehand,Error,2nd Serve In,Deuce: Wide,,,,,,0.0,0.0,0.0,0.0,"Set 1: 2-5, 15-40 Henry Von Der Schulenberg Serving"
46,Giacomo Revelli,Henry Von Der Schulenberg,0-0,0-0,0-1,,Deuce,Giacomo Revelli,Henry Von Der Schulenberg,UCLA,Harvard,2129189.0,2148639.0,19450.0,6,5-8,0,1,2nd Serve In,Wide,T,Wide,False,Far,,,28.99603018,240.5473371,124.2945538,-108.9348589,Down the Line,Forehand,Net,,Down the Line,Forehand,Henry Von Der Schulenberg,Error,Giacomo Revelli,,False,,,2,0,1,0,0,0,0,,,1,2nd Serve In,Deuce: Wide,,,,,,,,Down the Line,Forehand,Down the Line,Forehand,Error,0.0,0.0,1.0,1.0,"Set 2: 0-0, 0-0 Giacomo Revelli Serving"
47,Giacomo Revelli,Henry Von Der Schulenberg,15-0,0-0,0-1,,Ad,Giacomo Revelli,Henry Von Der Schulenberg,UCLA,Harvard,2171689.0,2185302.0,13613.0,11,9-12,1,0,1st Serve In,Wide,Wide,,False,Far,,,-150.8978456,-165.2302384,,,Crosscourt,Backhand,Net,,Down the Line,Forehand,Giacomo Revelli,Error,Henry Von Der Schulenberg,,False,,,2,0,1,0,0,15,0,,,1,1st Serve In,Ad: Wide,,,Down the Line,Forehand,Error,,,Crosscourt,Backhand,,,,0.0,3.0,4.0,2.0,"Set 2: 0-0, 15-0 Giacomo Revelli Serving"
48,Giacomo Revelli,Henry Von Der Schulenberg,15-15,0-0,0-1,,Deuce,Giacomo Revelli,Henry Von Der Schulenberg,UCLA,Harvard,2222159.0,2225709.0,3550.0,4,1-4,1,0,1st Serve In,Wide,Wide,,False,Far,,,113.1876039,-190.3386045,,,Down the Line,Forehand,Wide Left,,Down the Line,Backhand,Henry Von Der Schulenberg,Error,Giacomo Revelli,,False,,,2,0,1,0,0,15,15,,,1,1st Serve In,Deuce: Wide,,,,,,,,Down the Line,Forehand,Down the Line,Backhand,Error,0.0,0.0,1.0,1.0,"Set 2: 0-0, 15-15 Giacomo Revelli Serving"
49,Giacomo Revelli,Henry Von Der Schulenberg,30-15,0-0,0-1,,Ad,Giacomo Revelli,Henry Von Der Schulenberg,UCLA,Harvard,2246659.0,2275659.0,29000.0,8,5-8,1,1,1st Serve In,Wide,Wide,Body,False,Far,,,-119.7416831,-243.597091,-64.33427931,-106.9124836,Crosscourt,Backhand,Net,,Down the Line,Forehand,Henry Von Der Schulenberg,Error,Giacomo Revelli,,False,,Henry Von Der Schulenberg,2,0,1,0,0,30,15,,,1,1st Serve In,Ad: Wide,,,,,,,,Crosscourt,Backhand,Down the Line,Forehand,Error,0.0,1.0,3.0,2.0,"Set 2: 0-0, 30-15 Giacomo Revelli Serving"
50,Giacomo Revelli,Henry Von Der Schulenberg,40-15,0-0,0-1,,Deuce,Giacomo Revelli,Henry Von Der Schulenberg,UCLA,Harvard,2289659.0,2289659.0,0.0,1,1-4,0,0,Double Fault,,Wide,,False,Far,,,167.0865322,-130.4618876,,,,,,,,,Giacomo Revelli,,Henry Von Der Schulenberg,,False,,,2,0,1,0,0,40,15,,,1,Double Fault,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,"Set 2: 0-0, 40-15 Giacomo Revelli Serving"
51,Giacomo Revelli,Henry Von Der Schulenberg,0-0,1-0,0-1,,Deuce,Henry Von Der Schulenberg,Giacomo Revelli,UCLA,Harvard,2355830.0,2366790.0,10960.0,3,1-4,0,1,2nd Serve In,Body,Wide,Body,False,Far,,,130.0493438,-246.7227854,75.0631343,-174.8690562,Crosscourt,Forehand,Wide Right,,Down the Line,Forehand,Henry Von Der Schulenberg,Error,Giacomo Revelli,,False,,,2,0,1,1,0,0,0,,,2,,,Crosscourt,Forehand,,,,2nd Serve In,Deuce: Body,,,Down the Line,Forehand,Error,0.0,0.0,1.0,0.0,"Set 2: 1-0, 0-0 Henry Von Der Schulenberg Serving"
52,Giacomo Revelli,Henry Von Der Schulenberg,0-15,1-0,0-1,,Ad,Henry Von Der Schulenberg,Giacomo Revelli,UCLA,Harvard,2408989.0,2411560.0,2571.0,3,1-4,1,0,1st Serve In,Wide,Wide,,False,Far,,,-147.1392115,-219.3713419,,,Down the Line,Backhand,,,Crosscourt,Forehand,Henry Von Der Schulenberg,Winner,Henry Von Der Schulenberg,,False,,,2,0,1,1,0,0,15,,,2,,,Down the Line,Backhand,,,,1st Serve In,Ad: Wide,,,Crosscourt,Forehand,Winner,1.0,0.0,0.0,1.0,"Set 2: 1-0, 0-15 Henry Von Der Schulenberg Serving"
53,Giacomo Revelli,Henry Von Der Schulenberg,15-15,1-0,0-1,,Deuce,Henry Von Der Schulenberg,Giacomo Revelli,UCLA,Harvard,2432760.0,2441090.0,8330.0,7,5-8,1,0,1st Serve In,Wide,Wide,,False,Far,,,140.7029473,-191.7460685,,,Down the Line,Forehand,Long,,Down the Line,Backhand,Henry Von Der Schulenberg,Error,Giacomo Revelli,,False,,,2,0,1,1,0,15,15,,,2,,,Down the Line,Forehand,,,,1st Serve In,Deuce: Wide,,,Down the Line,Backhand,Error,2.0,1.0,1.0,1.0,"Set 2: 1-0, 15-15 Henry Von Der Schulenberg Serving"
